algorithm,k,tq:q,recall
kashif,1,t1793:c0,1.0
kashif,1,t3967:c0,0.5
kashif,1,t7378:c9,0.8571428571428571
kashif,1,t7821:c1,0.5
kashif,1,t8999:c1,0.10897435897435898
kashif,1,t9136:c4,0.0
kashif,1,t11627:c4,1.0
kashif,1,t12886:c0,1.0
kashif,1,t13388:c1,0.036395147313691506
kashif,1,t15192:c0,0.5555555555555556
kashif,10,t1793:c0,1.0
kashif,10,t3967:c0,1.0
kashif,10,t7378:c9,1.0
kashif,10,t7821:c1,1.0
kashif,10,t8999:c1,0.5448717948717948
kashif,10,t9136:c4,0.2924281984334204
kashif,10,t11627:c4,1.0
kashif,10,t12886:c0,1.0
kashif,10,t13388:c1,0.1438474870017331
kashif,10,t15192:c0,1.0
kashif,100,t1793:c0,1.0
kashif,100,t3967:c0,1.0
kashif,100,t7378:c9,1.0
kashif,100,t7821:c1,1.0
kashif,100,t8999:c1,0.9743589743589743
kashif,100,t9136:c4,0.8015665796344648
kashif,100,t11627:c4,1.0
kashif,100,t12886:c0,1.0
kashif,100,t13388:c1,0.29462738301559793
kashif,100,t15192:c0,1.0
kashif,1000,t1793:c0,1.0
kashif,1000,t3967:c0,1.0
kashif,1000,t7378:c9,1.0
kashif,1000,t7821:c1,1.0
kashif,1000,t8999:c1,1.0
kashif,1000,t9136:c4,0.9738903394255874
kashif,1000,t11627:c4,1.0
kashif,1000,t12886:c0,1.0
kashif,1000,t13388:c1,0.6949740034662045
kashif,1000,t15192:c0,1.0
kashif,nok,t1793:c0,0.8571428571428571
kashif,nok,t3967:c0,0.5
kashif,nok,t7378:c9,1.0
kashif,nok,t7821:c1,0.5
kashif,nok,t8999:c1,0.15384615384615385
kashif,nok,t9136:c4,0.7963446475195822
kashif,nok,t11627:c4,1.0
kashif,nok,t12886:c0,1.0
kashif,nok,t13388:c1,0.03986135181975736
kashif,nok,t15192:c0,0.6666666666666666
