tq:q,ts:s,overlap
t1793:c0,t8737262:c1,1
t1793:c0,t7319715:c1,1
t1793:c0,t9205827:c1,1
t1793:c0,t7802369:c3,1
t1793:c0,t1001449:c0,2
t1793:c0,t6711631:c1,11
t1793:c0,t7749676:c0,1
t1793:c0,t6540757:c7,1
t1793:c0,t7829686:c7,1
t1793:c0,t8529725:c7,1
t1793:c0,t5011423:c6,1
t1793:c0,t1030205:c1,1
t1793:c0,t8700709:c3,59
t1793:c0,t5374414:c4,1
t1793:c0,t8737262:c2,9
t1793:c0,t7319715:c2,9
t1793:c0,t9205827:c2,8
t1793:c0,t2456584:c2,8
t1793:c0,t6174996:c2,1
t1793:c0,t5594662:c5,1
t1793:c0,t3468704:c0,2
t1793:c0,t107325:c0,2
t1793:c0,t5982579:c0,2
t1793:c0,t267943:c0,2
t1793:c0,t3877552:c0,2
t1793:c0,t5230953:c0,2
t1793:c0,t3313927:c0,2
t1793:c0,t4786125:c0,1
t1793:c0,t5537457:c0,1
t1793:c0,t8718081:c0,1
t1793:c0,t5903373:c4,1
t1793:c0,t6174996:c5,9
t1793:c0,t8391425:c4,7
t1793:c0,t9671222:c8,24
t1793:c0,t8700709:c2,36
t1793:c0,t9355764:c8,11
t1793:c0,t10110142:c1,1
t1793:c0,t2185975:c1,11
t1793:c0,t8023712:c4,2
t1793:c0,t4139008:c0,2
t1793:c0,t10006268:c2,1
t1793:c0,t549379:c1,8
t1793:c0,t5498967:c1,3
t1793:c0,t537686:c2,1
t1793:c0,t6711631:c10,4
t1793:c0,t6711631:c2,52
t1793:c0,t6769670:c1,1
t1793:c0,t5129968:c0,2
t1793:c0,t582563:c0,7
t1793:c0,t4115702:c0,1
t1793:c0,t5911358:c0,11
t1793:c0,t3207665:c4,1
t1793:c0,t9540451:c0,10
t1793:c0,t8714955:c1,4
t1793:c0,t770896:c0,1
t1793:c0,t6359497:c3,2
t1793:c0,t9236551:c2,3
t1793:c0,t1552141:c0,1
t1793:c0,t7467300:c0,1
t1793:c0,t7566773:c0,3
t1793:c0,t7593231:c1,2
t1793:c0,t4289763:c4,1
t1793:c0,t561518:c0,3
t1793:c0,t47423:c3,1
t1793:c0,t79546:c3,1
t1793:c0,t4631622:c0,2
t1793:c0,t8458946:c1,1
t1793:c0,t1119059:c2,1
t1793:c0,t5321914:c3,1
t1793:c0,t5407894:c1,8
t1793:c0,t1445889:c4,1
t1793:c0,t2135573:c3,1
t1793:c0,t7557232:c5,4
t1793:c0,t115249:c5,24
t1793:c0,t3321760:c4,1
t1793:c0,t8269220:c0,1
t1793:c0,t8992011:c0,4
t1793:c0,t6711631:c4,2
t1793:c0,t9715049:c4,2
t1793:c0,t1928103:c1,1
t1793:c0,t6449075:c0,1
t1793:c0,t1296201:c0,1
t1793:c0,t5879266:c3,1
t1793:c0,t4047698:c2,1
t1793:c0,t1493212:c0,2
t1793:c0,t153249:c0,2
t1793:c0,t4274292:c0,2
t1793:c0,t5552800:c0,2
t1793:c0,t7552063:c0,2
t1793:c0,t8054442:c0,2
t1793:c0,t1381007:c7,1
t1793:c0,t1659746:c5,6
t1793:c0,t6890489:c2,10
t1793:c0,t10052876:c4,1
t1793:c0,t7062870:c4,2
t1793:c0,t10060391:c6,1
t1793:c0,t1683871:c2,2
t1793:c0,t2612899:c4,2
t1793:c0,t10167605:c2,3
t1793:c0,t1276527:c2,6
t1793:c0,t5981839:c2,6
t1793:c0,t4824865:c1,1
t1793:c0,t6704953:c1,1
t1793:c0,t5040064:c0,1
t1793:c0,t4047698:c8,1
t1793:c0,t6359497:c8,27
t1793:c0,t9262857:c5,17
t1793:c0,t4578061:c5,1
t1793:c0,t4358853:c0,1
t1793:c0,t9203744:c0,1
t1793:c0,t7396483:c5,9
t1793:c0,t1828015:c9,1
t1793:c0,t537686:c0,1
t1793:c0,t5063412:c3,1
t1793:c0,t64353:c3,1
t1793:c0,t4011652:c0,1
t1793:c0,t7566773:c6,1
t1793:c0,t1828015:c22,1
t1793:c0,t1126237:c5,1
t1793:c0,t6827480:c0,1
t1793:c0,t2573382:c0,3
t1793:c0,t10125921:c0,7
