tq:q,ts:s,overlap
t1793:c0,t8737262:c1,1
t1793:c0,t7319715:c1,1
t1793:c0,t9205827:c1,1
t1793:c0,t5011423:c6,1
t1793:c0,t2456584:c2,3
t1793:c0,t3468704:c0,1
t1793:c0,t107325:c0,1
t1793:c0,t5982579:c0,1
t1793:c0,t267943:c0,1
t1793:c0,t3877552:c0,1
t1793:c0,t5230953:c0,1
t1793:c0,t3313927:c0,1
t1793:c0,t4786125:c0,1
t1793:c0,t5537457:c0,1
t1793:c0,t6928371:c0,1
t1793:c0,t2948140:c0,1
t1793:c0,t3312362:c0,1
t1793:c0,t916417:c0,1
t1793:c0,t2913168:c0,1
t1793:c0,t4723103:c0,1
t1793:c0,t6400475:c0,1
t1793:c0,t9764595:c0,1
t1793:c0,t4388342:c0,1
t1793:c0,t6832177:c0,1
t1793:c0,t8119137:c0,1
t1793:c0,t8718081:c0,1
t1793:c0,t5903373:c4,1
t1793:c0,t8023712:c4,1
t1793:c0,t5129968:c0,1
t1793:c0,t770896:c0,1
t1793:c0,t561518:c0,1
t1793:c0,t2135573:c3,1
t1793:c0,t8269220:c0,1
t1793:c0,t1296201:c0,1
t1793:c0,t6711631:c2,5
t1793:c0,t10060391:c6,1
t1793:c0,t4824865:c1,1
t1793:c0,t6704953:c1,1
t1793:c0,t8700709:c3,7
t1793:c0,t4578061:c5,1
t1793:c0,t6359497:c8,5
t1793:c0,t2573382:c0,1
t1793:c0,t5063412:c4,1
t1793:c0,t64353:c4,1
t1793:c0,t10264535:c2,1
t1793:c0,t8700709:c2,3
t1793:c0,t9355764:c8,1
t1793:c0,t6711631:c1,3
t1793:c0,t2992888:c0,1
t1793:c0,t582563:c0,2
t1793:c0,t6890489:c2,3
t1793:c0,t79546:c3,1
t1793:c0,t9161821:c10,1
t1793:c0,t5911358:c0,1
t1793:c0,t6887888:c0,1
t1793:c0,t8614580:c0,4
t1793:c0,t3678421:c0,2
t1793:c0,t8391425:c4,2
t1793:c0,t3198605:c2,1
t1793:c0,t1126237:c5,1
t1793:c0,t4542234:c1,1
t1793:c0,t1683871:c2,1
t1793:c0,t1683871:c0,1
t1793:c0,t2755244:c2,1
t1793:c0,t8285286:c1,1
t1793:c0,t9262857:c5,1
t1793:c0,t5769411:c3,1
t1793:c0,t10060391:c3,1
t1793:c0,t5288939:c0,1
t1793:c0,t10045688:c1,1
t1793:c0,t2456584:c1,2
t1793:c0,t10235239:c1,1
t1793:c0,t1276527:c2,1
t1793:c0,t5981839:c2,1
t1793:c0,t9520876:c0,1
t1793:c0,t1381886:c4,1
t1793:c0,t1119059:c0,1
t1793:c0,t2685909:c0,1
t1793:c0,t1390838:c3,1
t1793:c0,t2407473:c0,1
t1793:c0,t5407894:c1,1
t1793:c0,t5813457:c1,1
t1793:c0,t1265089:c0,1
t1793:c0,t3353490:c0,1
t1793:c0,t4937298:c0,1
t1793:c0,t4945772:c0,1
t1793:c0,t5029109:c0,1
t1793:c0,t8495834:c0,1
t1793:c0,t1659746:c5,1
t1793:c0,t10125921:c0,1
t1793:c0,t7441493:c2,1
t1793:c0,t8370264:c1,1
t1793:c0,t8458946:c2,1
t1793:c0,t10005814:c0,1
t1793:c0,t10024664:c0,1
t1793:c0,t10281900:c0,1
t1793:c0,t4917262:c2,1
t1793:c0,t6711631:c10,1
t1793:c0,t2175125:c0,1
t1793:c0,t115249:c5,1
t1793:c0,t7396483:c5,1
t1793:c0,t388319:c0,1
t1793:c0,t2992888:c2,1
t3967:c0,t5562157:c0,2
t3967:c0,t6359497:c8,5
t3967:c0,t8700709:c2,6
t3967:c0,t9935516:c0,1
t3967:c0,t8477228:c4,1
t3967:c0,t1040921:c4,2
t3967:c0,t6890489:c2,3
t3967:c0,t6711631:c2,4
t3967:c0,t8700709:c3,9
t3967:c0,t10241076:c0,1
t3967:c0,t47423:c4,1
t3967:c0,t2236717:c0,1
t3967:c0,t3423530:c1,1
t3967:c0,t976953:c1,1
t3967:c0,t3650688:c1,1
t3967:c0,t5878521:c1,1
t3967:c0,t9683542:c1,1
t3967:c0,t3333417:c1,1
t3967:c0,t3685616:c1,1
