tq:q,ts:s,overlap
t1793:c0,t10207224:c3,99
t1793:c0,t10207224:c3,98
t1793:c0,t10207224:c3,99
t1793:c0,t1388363:c3,90
t1793:c0,t1388363:c3,93
t1793:c0,t1388363:c3,96
t1793:c0,t1388363:c3,86
t1793:c0,t2022569:c3,92
t1793:c0,t2022569:c3,94
t1793:c0,t2022569:c3,96
t1793:c0,t3127133:c3,99
t1793:c0,t3198605:c3,96
t1793:c0,t3198605:c3,85
t1793:c0,t3468704:c3,98
t1793:c0,t3640173:c3,93
t1793:c0,t3747265:c3,99
t1793:c0,t6198259:c3,96
t1793:c0,t6540757:c3,98
t1793:c0,t7566773:c3,88
t1793:c0,t7566773:c3,98
t1793:c0,t7593231:c3,91
t1793:c0,t7593231:c3,82
t1793:c0,t7593231:c3,75
t1793:c0,t7600072:c3,99
t1793:c0,t7600072:c3,94
t1793:c0,t7629341:c3,97
t1793:c0,t7629341:c3,99
t1793:c0,t7829686:c3,98
t1793:c0,t7926417:c3,90
t1793:c0,t7926417:c3,93
t1793:c0,t7926417:c3,96
t1793:c0,t7926417:c3,86
t1793:c0,t8183565:c3,97
t1793:c0,t8183565:c3,99
t1793:c0,t8183565:c3,99
t1793:c0,t8183565:c3,98
t1793:c0,t8183565:c3,83
t1793:c0,t8529725:c3,98
t1793:c0,t8614580:c3,65
t1793:c0,t8737262:c3,95
t1793:c0,t8737262:c3,93
t1793:c0,t8737262:c3,79
t1793:c0,t8737262:c3,96
t1793:c0,t9024743:c3,98
t1793:c0,t9037196:c3,99
t1793:c0,t9037196:c3,98
t1793:c0,t9037196:c3,99
t1793:c0,t9037196:c3,88
t1793:c0,t9624420:c3,87
t1793:c0,t9788813:c3,97
t1793:c0,t9788813:c3,99
t1793:c0,t10124629:c3,89
t1793:c0,t1265089:c3,81
t1793:c0,t1265089:c3,83
t1793:c0,t1265089:c3,97
t1793:c0,t1265089:c3,93
t1793:c0,t1468991:c3,89
t1793:c0,t1468991:c3,91
t1793:c0,t1468991:c3,96
t1793:c0,t2122609:c3,93
t1793:c0,t2122609:c3,94
t1793:c0,t2122609:c3,96
t1793:c0,t2185975:c3,89
t1793:c0,t2185975:c3,70
t1793:c0,t2185975:c3,99
t1793:c0,t2675666:c3,91
t1793:c0,t2755244:c3,97
t1793:c0,t3144709:c3,98
t1793:c0,t3144709:c3,99
t1793:c0,t3144709:c3,98
t1793:c0,t3144709:c3,99
t1793:c0,t3144709:c3,85
t1793:c0,t3353490:c3,81
t1793:c0,t3353490:c3,83
t1793:c0,t3353490:c3,97
t1793:c0,t3353490:c3,93
t1793:c0,t3423530:c3,96
t1793:c0,t3423530:c3,97
t1793:c0,t3423530:c3,99
t1793:c0,t4578061:c3,84
t1793:c0,t4578061:c3,99
t1793:c0,t4578061:c3,87
t1793:c0,t4867951:c3,98
t1793:c0,t4867951:c3,89
t1793:c0,t4867951:c3,95
t1793:c0,t4867951:c3,97
t1793:c0,t4937298:c3,81
t1793:c0,t4937298:c3,83
t1793:c0,t4937298:c3,97
t1793:c0,t4937298:c3,93
t1793:c0,t4945772:c3,81
t1793:c0,t4945772:c3,83
t1793:c0,t4945772:c3,97
t1793:c0,t4945772:c3,93
t1793:c0,t4978186:c3,99
t1793:c0,t4978186:c3,99
t1793:c0,t5029109:c3,81
t1793:c0,t5029109:c3,83
