algo,query_column,param,time(sec)
kashif,t1793_c0,k=1000,0.873694
kashif,t3967_c0,,k=1000,0.745324
kashif,t7378_c9,k=1000,0.758923
kashif,t7821_c1,k=1000,0.677466
kashif,t8999_c1,k=1000,0.787502
kashif,t9136_c4,k=1000,0.406170
kashif,t11627_c4,k=1000,0.802694
kashif,t12886_c0,k=1000,0.757276
kashif,t13388_c1,k=1000,0.630004
kashif,t15192_c0,k=1000,0.708360
pexeso,t1793_c0,tau=0.02:T=0.2:P=4:m=3,510.56
pexeso,t3967_c0,,tau=0.02:T=0.2:P=4:m=3,500.25
pexeso,t7378_c9,tau=0.02:T=0.2:P=4:m=3,500.93
pexeso,t7821_c1,tau=0.02:T=0.2:P=4:m=3,500.92
pexeso,t8999_c1,tau=0.02:T=0.2:P=4:m=3,516.21
pexeso,t9136_c4,tau=0.02:T=0.2:P=4:m=3,509.55
pexeso,t11627_c4,tau=0.02:T=0.2:P=4:m=3,505.14
pexeso,t12886_c0,tau=0.02:T=0.2:P=4:m=3,505.41
pexeso,t13388_c1,tau=0.02:T=0.2:P=4:m=3,504.98
pexeso,t15192_c0,tau=0.02:T=0.2:P=4:m=3,511.84
