algorithm,total-files,data-gb-size,k,num-top,TQ:Q,querytime,ndistcalc,dataaccess
bfed,100000,1,1000,10,TQ7Q0,9.7364,,30224256
bfed,100000,1,1000,10,TQ4Q1,9.7644,,30224262
bfed,100000,1,1000,10,TQ9Q0,11.7129,,45336357
bfed,100000,1,1000,10,TQ5Q0,9.0645,,25186885
bfed,100000,1,1000,10,TQ7Q2,9.7175,,30224256
bfed,100000,1,1000,10,TQ2Q0,11.0564,,40298888
bfed,100000,1,1000,10,TQ7Q1,9.7319,,30224256
bfed,100000,1,1000,10,TQ7Q3,9.7202,,30224256
bfed,100000,1,1000,10,TQ5Q1,9.0658,,25186885
bfed,100000,1,1000,10,TQ4Q0,9.0797,,25186665
bfed,100000,1,100,10,TQ2Q0,11.0795,,40298888
bfed,100000,1,100,10,TQ5Q0,9.0852,,25186885
bfed,100000,1,100,10,TQ4Q1,9.7301,,30224262
bfed,100000,1,100,10,TQ9Q0,11.7211,,45336357
bfed,100000,1,100,10,TQ7Q3,9.7307,,30224256
bfed,100000,1,100,10,TQ7Q1,9.7239,,30224256
bfed,100000,1,100,10,TQ7Q0,9.7255,,30224256
bfed,100000,1,100,10,TQ7Q2,9.7273,,30224256
bfed,100000,1,100,10,TQ4Q0,9.0653,,25186665
bfed,100000,1,100,10,TQ5Q1,9.0675,,25186885
bfed,100000,1,10,10,TQ7Q3,9.7950,,30224256
bfed,100000,1,10,10,TQ4Q0,9.0726,,25186665
bfed,100000,1,10,10,TQ4Q1,9.7351,,30224262
bfed,100000,1,10,10,TQ5Q0,9.0654,,25186885
bfed,100000,1,10,10,TQ9Q0,11.8318,,45336357
bfed,100000,1,10,10,TQ7Q0,9.7453,,30224256
bfed,100000,1,10,10,TQ2Q0,11.0498,,40298888
bfed,100000,1,10,10,TQ5Q1,9.0682,,25186885
bfed,100000,1,10,10,TQ7Q1,9.7654,,30224256
bfed,100000,1,10,10,TQ7Q2,9.7608,,30224256
bfed,100000,1,10000,10,TQ7Q1,9.7369,,30224256
bfed,100000,1,10000,10,TQ4Q0,9.0752,,25186665
bfed,100000,1,10000,10,TQ9Q0,11.7577,,45336357
bfed,100000,1,10000,10,TQ7Q0,9.7432,,30224256
bfed,100000,1,10000,10,TQ2Q0,11.0834,,40298888
bfed,100000,1,10000,10,TQ5Q0,9.0812,,25186885
bfed,100000,1,10000,10,TQ7Q2,9.7366,,30224256
bfed,100000,1,10000,10,TQ5Q1,9.0935,,25186885
bfed,100000,1,10000,10,TQ4Q1,9.7415,,30224262
bfed,100000,1,10000,10,TQ7Q3,9.7557,,30224256
