algorithm,total-files,data-gb-size,k,num-top,TQ:Q,querytime,ndistcalc,dataaccess
sqa,1000000,9,100,-,TQ2Q1,274.4401,,0
sqa,1000000,9,300,-,TQ2Q1,274.9006,,0
sqa,1000000,9,1,-,TQ2Q1,193.7266,,0
sqa,1000000,9,500,-,TQ2Q1,274.9295,,0
sqa,1000000,9,5,-,TQ2Q1,219.6070,,0
sqa,1000000,9,5000,-,TQ2Q1,286.8431,,0
sqa,1000000,9,10000,-,TQ2Q3,204.3659,,0
sqa,1000000,9,3,-,TQ3Q0,0.0008,,0
sqa,1000000,9,300,-,TQ2Q4,261.7290,,0
sqa,1000000,9,3,-,TQ2Q0,0.0014,,0
sqa,1000000,9,3000,-,TQ2Q3,197.9069,,0
sqa,1000000,9,10000,-,TQ3Q0,0.0030,,0
sqa,1000000,9,1,-,TQ2Q4,168.3354,,0
sqa,1000000,9,30,-,TQ2Q1,261.1623,,0
sqa,1000000,9,5,-,TQ2Q3,32.2172,,0
sqa,1000000,9,500,-,TQ2Q0,0.0015,,0
sqa,1000000,9,5000,-,TQ2Q0,0.0031,,0
sqa,1000000,9,500,-,TQ2Q3,190.0776,,0
sqa,1000000,9,5,-,TQ2Q4,174.8511,,0
sqa,1000000,9,10,-,TQ2Q1,249.6920,,0
sqa,1000000,9,5000,-,TQ2Q4,281.4211,,0
sqa,1000000,9,100,-,TQ2Q0,0.0014,,0
sqa,1000000,9,5000,-,TQ2Q3,200.4964,,0
sqa,1000000,9,10,-,TQ3Q0,0.0008,,0
sqa,1000000,9,50,-,TQ3Q0,0.0008,,0
sqa,1000000,9,1,-,TQ2Q0,0.0014,,0
sqa,1000000,9,10000,-,TQ2Q4,282.7344,,0
sqa,1000000,9,1,-,TQ2Q3,0.0036,,0
sqa,1000000,9,100,-,TQ2Q3,166.9403,,0
sqa,1000000,9,3,-,TQ2Q4,172.1813,,0
sqa,1000000,9,10000,-,TQ2Q1,287.1059,,0
sqa,1000000,9,10,-,TQ2Q4,189.0650,,0
sqa,1000000,9,5,-,TQ3Q0,0.0008,,0
sqa,1000000,9,100,-,TQ3Q0,0.0008,,0
sqa,1000000,9,30,-,TQ2Q0,0.0014,,0
sqa,1000000,9,300,-,TQ2Q3,187.8261,,0
sqa,1000000,9,30,-,TQ2Q3,163.6338,,0
sqa,1000000,9,50,-,TQ2Q4,236.9220,,0
sqa,1000000,9,5,-,TQ2Q0,0.0014,,0
sqa,1000000,9,5000,-,TQ3Q0,0.0019,,0
sqa,1000000,9,100,-,TQ2Q4,250.3615,,0
sqa,1000000,9,500,-,TQ2Q4,270.5207,,0
sqa,1000000,9,1000,-,TQ3Q0,0.0010,,0
sqa,1000000,9,300,-,TQ3Q0,0.0009,,0
sqa,1000000,9,3000,-,TQ2Q1,275.7940,,0
sqa,1000000,9,50,-,TQ2Q1,272.9028,,0
sqa,1000000,9,3,-,TQ2Q3,13.5737,,0
sqa,1000000,9,1000,-,TQ2Q0,0.0017,,0
sqa,1000000,9,3,-,TQ2Q1,209.3343,,0
sqa,1000000,9,500,-,TQ3Q0,0.0009,,0
sqa,1000000,9,1000,-,TQ2Q3,193.7109,,0
sqa,1000000,9,10,-,TQ2Q3,83.1121,,0
sqa,1000000,9,50,-,TQ2Q3,165.0185,,0
sqa,1000000,9,30,-,TQ3Q0,0.0008,,0
sqa,1000000,9,3000,-,TQ3Q0,0.0015,,0
sqa,1000000,9,50,-,TQ2Q0,0.0014,,0
sqa,1000000,9,300,-,TQ2Q0,0.0015,,0
sqa,1000000,9,30,-,TQ2Q4,215.6161,,0
sqa,1000000,9,3000,-,TQ2Q0,0.0024,,0
sqa,1000000,9,1,-,TQ3Q0,0.0008,,0
sqa,1000000,9,3000,-,TQ2Q4,281.1088,,0
sqa,1000000,9,1000,-,TQ2Q4,280.7901,,0
sqa,1000000,9,10,-,TQ2Q0,0.0014,,0
sqa,1000000,9,1000,-,TQ2Q1,275.0060,,0
sqa,1000000,9,10000,-,TQ2Q0,0.0049,,0
pqa,1000000,9,5,-,TQ3Q0,0.0026,,0
pqa,1000000,9,10,-,TQ2Q3,19.2305,,317869368
pqa,1000000,9,300,-,TQ2Q4,36.1795,,866957588
pqa,1000000,9,10000,-,TQ2Q3,21.6701,,831356822
pqa,1000000,9,10000,-,TQ2Q4,33.6509,,960405866
pqa,1000000,9,300,-,TQ2Q0,0.0003,,0
pqa,1000000,9,3000,-,TQ2Q3,23.3466,,800342606
pqa,1000000,9,10000,-,TQ2Q1,32.8685,,1005053333
pqa,1000000,9,3,-,TQ2Q3,17.5692,,47854168
pqa,1000000,9,500,-,TQ2Q0,0.0003,,0
pqa,1000000,9,3000,-,TQ2Q1,32.8601,,956461827
pqa,1000000,9,10000,-,TQ3Q0,0.0027,,0
pqa,1000000,9,100,-,TQ3Q0,0.0026,,0
pqa,1000000,9,100,-,TQ2Q4,34.5700,,817172082
