k,recall,precision,time
1,1.000000,1.000000,0.002018
3,1.000000,1.000000,0.002021
5,1.000000,1.000000,0.002024
7,1.000000,1.000000,0.002028
10,1.000000,1.000000,0.002034
30,1.000000,1.000000,0.002060
50,1.000000,1.000000,0.002087
70,1.000000,1.000000,11.847246
100,1.000000,1.000000,76.566093
300,1.000000,1.000000,77.918877
500,1.000000,1.000000,77.919189
700,1.000000,1.000000,77.919495
1000,0.999714,0.999714,77.919968
1,0.000000,0.000000,103.252274
3,0.000000,0.000000,103.252274
5,0.000000,0.000000,103.252274
7,0.000000,0.000000,103.252274
10,0.000000,0.000000,103.252274
30,0.000000,0.000000,103.252335
50,0.000000,0.000000,104.201248
70,0.000000,0.000000,104.201294
100,0.000099,0.000118,104.201370
300,0.000066,0.000078,104.201645
500,0.000099,0.000118,104.202042
700,0.000184,0.000218,104.202370
1000,0.000228,0.000271,104.202934
1,1.000000,1.000000,0.001980
3,1.000000,1.000000,0.001981
5,1.000000,1.000000,0.001982
7,1.000000,1.000000,0.001985
10,1.000000,1.000000,0.001989
30,1.000000,1.000000,0.002018
50,1.000000,1.000000,0.002045
70,1.000000,1.000000,0.002079
100,1.000000,1.000000,0.002120
300,1.000000,1.000000,83.417549
500,1.000000,1.000000,87.930740
700,1.000000,1.000000,88.791542
1000,0.999682,0.999682,88.791992
1,1.000000,1.000000,0.001685
3,1.000000,1.000000,0.001691
5,1.000000,1.000000,0.001693
7,1.000000,1.000000,0.001694
10,1.000000,1.000000,0.001696
30,1.000000,1.000000,0.001721
50,1.000000,1.000000,0.001746
70,1.000000,1.000000,0.001765
100,1.000000,1.000000,0.001802
300,1.000000,1.000000,58.249386
500,1.000000,1.000000,59.183846
1,1.000000,1.000000,42.307152
3,1.000000,1.000000,70.136658
5,1.000000,1.000000,75.151299
7,1.000000,1.000000,75.151299
10,1.000000,1.000000,76.027298
30,1.000000,1.000000,76.027328
50,1.000000,1.000000,76.027344
70,1.000000,1.000000,76.027374
100,1.000000,1.000000,76.027390
300,1.000000,1.000000,76.027603
500,1.000000,1.000000,76.027802
700,1.000000,1.000000,76.028015
1000,0.999661,0.999661,76.028320
700,1.000000,1.000000,60.214931
1,1.000000,1.000000,49.278561
3,1.000000,1.000000,52.625881
5,1.000000,1.000000,52.625889
7,1.000000,1.000000,52.625889
10,1.000000,1.000000,52.625896
30,1.000000,1.000000,52.625904
50,1.000000,1.000000,52.625923
70,1.000000,1.000000,52.625961
100,1.000000,1.000000,52.713985
300,1.000000,1.000000,52.714214
500,1.000000,1.000000,52.714417
700,1.000000,1.000000,53.636539
1000,0.999700,0.999700,53.636871
1000,0.999859,0.999859,60.215332
1,1.000000,1.000000,47.359222
3,1.000000,1.000000,48.252369
5,1.000000,1.000000,48.344318
7,1.000000,1.000000,48.344330
10,1.000000,1.000000,48.344330
30,1.000000,1.000000,49.400188
50,1.000000,1.000000,49.400208
70,1.000000,1.000000,49.400227
100,1.000000,1.000000,49.400253
300,1.000000,1.000000,51.180466
500,1.000000,1.000000,51.180679
700,1.000000,1.000000,51.180885
1000,0.999750,0.999750,51.181187
1,1.000000,1.000000,47.448448
3,1.000000,1.000000,50.631752
5,1.000000,1.000000,50.631767
7,1.000000,1.000000,51.648945
10,1.000000,1.000000,51.740719
30,1.000000,1.000000,53.491577
50,1.000000,1.000000,53.491608
70,1.000000,1.000000,53.491623
100,1.000000,1.000000,53.491657
300,1.000000,1.000000,53.491856
500,1.000000,1.000000,53.492069
700,1.000000,1.000000,53.492264
1000,0.999833,0.999833,53.492588
1,1.000000,1.000000,39.950817
3,1.000000,1.000000,42.825439
5,1.000000,1.000000,43.003799
7,1.000000,1.000000,43.003807
10,1.000000,1.000000,43.003815
30,1.000000,1.000000,43.003822
50,1.000000,1.000000,43.003860
70,1.000000,1.000000,43.003868
100,1.000000,1.000000,43.003887
300,1.000000,1.000000,51.572571
500,1.000000,1.000000,51.572754
700,1.000000,1.000000,51.572929
1000,0.999780,0.999780,51.573215

