k;s;d;recall;
1;(7369,0,15);0.000000;1.000000;
2;(9175,0,15);0.000000;1.000000;
3;(10283,0,15);0.000000;1.000000;
4;(11835,0,2);0.000000;1.000000;
5;(13459,0,15);0.000000;1.000000;
6;(19230,0,15);0.000000;1.000000;
7;(21879,0,5);0.000000;1.000000;
8;(24739,0,15);0.000000;1.000000;
9;(24806,0,13);0.000000;1.000000;
10;(24922,0,15);0.000000;1.000000;
11;(25818,0,3);0.000000;1.000000;
12;(28086,0,13);0.000000;1.000000;
13;(29659,0,0);0.000000;1.000000;
14;(30131,0,0);0.000000;1.000000;
15;(33418,0,15);0.000000;1.000000;
16;(33929,0,15);0.000000;1.000000;
17;(39552,0,8);0.000000;1.000000;
18;(39817,0,15);0.000000;1.000000;
19;(40000,0,15);0.000000;1.000000;
20;(41279,0,6);0.000000;1.000000;
21;(43003,0,15);0.000000;1.000000;
22;(44001,0,13);0.000000;1.000000;
23;(44856,0,15);0.000000;1.000000;
24;(45089,0,15);0.000000;1.000000;
25;(49783,0,15);0.000000;1.000000;
26;(51320,0,2);0.000000;1.000000;
27;(52426,0,15);0.000000;1.000000;
28;(52897,0,15);0.000000;1.000000;
29;(55222,0,2);0.000000;1.000000;
30;(56589,0,1);0.000000;1.000000;
31;(56776,0,2);0.000000;1.000000;
32;(57556,0,13);0.000000;1.000000;
33;(57970,0,13);0.000000;1.000000;
34;(58987,0,1);0.000000;1.000000;
35;(60313,0,15);0.000000;1.000000;
36;(62478,0,0);0.000000;1.000000;
37;(63230,0,15);0.000000;1.000000;
38;(63336,0,15);0.000000;1.000000;
39;(67111,0,0);0.000000;1.000000;
40;(71688,0,15);0.000000;1.000000;
41;(72376,0,15);0.000000;1.000000;
42;(73884,0,15);0.000000;1.000000;
43;(76199,0,15);0.000000;1.000000;
44;(76342,0,15);0.000000;1.000000;
45;(77902,0,15);0.000000;1.000000;
46;(80206,0,15);0.000000;1.000000;
47;(81745,0,0);0.000000;1.000000;
48;(81912,0,15);0.000000;1.000000;
49;(81954,0,13);0.000000;1.000000;
50;(84560,0,2);0.000000;1.000000;
51;(84990,0,15);0.000000;1.000000;
52;(89308,0,0);0.000000;1.000000;
53;(90374,0,15);0.000000;1.000000;
54;(93015,0,15);0.000000;1.000000;
55;(93810,0,5);0.000000;1.000000;
56;(94215,0,5);0.000000;1.000000;
57;(94690,0,15);0.000000;1.000000;
58;(95334,0,0);0.000000;1.000000;
59;(95924,0,0);0.000000;1.000000;
60;(97547,0,0);0.000000;1.000000;
61;(97734,0,0);0.000000;1.000000;
62;(98422,0,15);0.000000;1.000000;
63;(98709,0,0);0.000000;1.000000;
64;(101817,0,2);0.000000;1.000000;
65;(108294,0,1);0.000000;1.000000;
66;(108304,0,10);0.000000;1.000000;
67;(109750,0,15);0.000000;1.000000;
68;(111791,0,0);0.000000;1.000000;
69;(112949,0,15);0.000000;1.000000;
70;(115292,0,2);0.000000;1.000000;
71;(45717,0,4);0.089391;1.000000;
72;(110308,0,31);0.089391;1.000000;
73;(7369,0,16);0.189216;1.000000;
74;(9175,0,16);0.189216;1.000000;
75;(10283,0,16);0.189216;1.000000;
76;(11835,0,3);0.189216;1.000000;
77;(13459,0,16);0.189216;1.000000;
78;(19230,0,16);0.189216;1.000000;
79;(21879,0,6);0.189216;1.000000;
80;(24739,0,16);0.189216;1.000000;
81;(24806,0,14);0.189216;1.000000;
82;(24922,0,16);0.189216;1.000000;
83;(28086,0,14);0.189216;1.000000;
84;(29659,0,1);0.189216;1.000000;
85;(30131,0,1);0.189216;1.000000;
86;(33418,0,16);0.189216;1.000000;
87;(33929,0,16);0.189216;1.000000;
88;(39552,0,9);0.189216;1.000000;
89;(39817,0,16);0.189216;1.000000;
90;(40000,0,16);0.189216;1.000000;
91;(41279,0,7);0.189216;1.000000;
92;(43003,0,16);0.189216;1.000000;
93;(44001,0,14);0.189216;1.000000;
94;(44856,0,16);0.189216;1.000000;
95;(45089,0,16);0.189216;1.000000;
96;(49783,0,16);0.189216;1.000000;
97;(51320,0,3);0.189216;1.000000;
98;(52426,0,16);0.189216;1.000000;
99;(52897,0,16);0.189216;1.000000;
100;(55222,0,3);0.189216;1.000000;
101;(56589,0,2);0.189216;1.000000;
102;(56776,0,3);0.189216;1.000000;
103;(57556,0,14);0.189216;1.000000;
104;(57970,0,14);0.189216;1.000000;
105;(58987,0,2);0.189216;1.000000;
106;(60313,0,16);0.189216;1.000000;
107;(62478,0,1);0.189216;1.000000;
108;(63230,0,16);0.189216;1.000000;
109;(63336,0,16);0.189216;1.000000;
110;(64619,0,0);0.189216;1.000000;
111;(67111,0,1);0.189216;1.000000;
112;(71688,0,16);0.189216;1.000000;
113;(72376,0,16);0.189216;1.000000;
114;(73884,0,16);0.189216;1.000000;
115;(76199,0,16);0.189216;1.000000;
116;(76342,0,16);0.189216;1.000000;
117;(77902,0,16);0.189216;1.000000;
118;(80206,0,16);0.189216;1.000000;
119;(81745,0,1);0.189216;1.000000;
120;(81912,0,16);0.189216;1.000000;
121;(81954,0,14);0.189216;1.000000;
122;(84560,0,3);0.189216;1.000000;
123;(84990,0,16);0.189216;1.000000;
124;(89308,0,1);0.189216;1.000000;
125;(90374,0,16);0.189216;1.000000;
126;(93015,0,16);0.189216;1.000000;
127;(93810,0,6);0.189216;1.000000;
128;(94215,0,6);0.189216;1.000000;
129;(94690,0,16);0.189216;1.000000;
130;(95334,0,1);0.189216;1.000000;
131;(95924,0,1);0.189216;1.000000;
132;(97547,0,1);0.189216;1.000000;
133;(97734,0,1);0.189216;1.000000;
134;(98422,0,16);0.189216;1.000000;
135;(98709,0,1);0.189216;1.000000;
136;(100548,0,0);0.189216;1.000000;
137;(101817,0,3);0.189216;1.000000;
138;(108294,0,2);0.189216;1.000000;
139;(108304,0,11);0.189216;1.000000;
140;(109750,0,16);0.189216;1.000000;
141;(111791,0,1);0.189216;1.000000;
142;(112949,0,16);0.189216;1.000000;
143;(115292,0,3);0.189216;1.000000;
144;(65326,3,13);0.211208;1.000000;
145;(3181,2,8);0.218958;1.000000;
146;(45717,0,5);0.220485;1.000000;
147;(110308,0,32);0.220485;1.000000;
148;(78503,2,95);0.220692;1.000000;
149;(89994,2,95);0.220692;1.000000;
150;(39519,5,1);0.222066;1.000000;
151;(18987,0,0);0.222282;1.000000;
152;(75369,8,5);0.222282;1.000000;
153;(53396,7,31);0.227183;1.000000;
154;(69405,0,4);0.230418;1.000000;
155;(53046,1,623);0.230510;1.000000;
156;(16154,0,2);0.234830;1.000000;
157;(38065,0,3);0.234830;1.000000;
158;(67362,0,3);0.234830;1.000000;
159;(101865,6,4);0.234830;1.000000;
160;(108905,0,3);0.234830;1.000000;
161;(95549,0,6);0.237760;1.000000;
162;(30065,2,25);0.242550;1.000000;
163;(5420,1,1);0.242843;1.000000;
164;(104472,1,40);0.245748;1.000000;
165;(35957,0,67);0.246416;1.000000;
166;(65907,0,36);0.246416;1.000000;
167;(72782,0,12);0.246416;1.000000;
168;(92767,0,12);0.246416;1.000000;
169;(42792,1,2);0.247940;1.000000;
170;(81571,0,21);0.249825;1.000000;
171;(53095,1,2);0.251013;1.000000;
172;(105565,1,2);0.251013;1.000000;
173;(30065,2,16);0.251096;1.000000;
174;(114084,1,3);0.252705;1.000000;
175;(89954,3,2);0.253829;1.000000;
176;(30065,2,24);0.254750;1.000000;
177;(65326,3,14);0.254750;1.000000;
178;(955,2,3);0.257678;1.000000;
179;(30065,2,21);0.258040;1.000000;
180;(53046,1,436);0.259817;1.000000;
181;(30065,2,20);0.261368;1.000000;
182;(40669,7,20);0.261951;1.000000;
183;(94174,1,1);0.262153;1.000000;
184;(107410,3,15);0.263404;1.000000;
185;(76044,3,1242);0.263445;1.000000;
186;(63714,3,111);0.264209;1.000000;
187;(109458,1,14);0.264609;1.000000;
188;(114084,1,2);0.264609;1.000000;
189;(30065,2,26);0.265193;1.000000;
190;(4962,0,0);0.265925;1.000000;
191;(30618,0,0);0.265925;1.000000;
192;(108517,0,0);0.265925;1.000000;
193;(53043,0,100);0.267751;1.000000;
194;(22926,0,0);0.267753;1.000000;
195;(53046,1,424);0.269077;1.000000;
196;(76044,3,621);0.269124;1.000000;
197;(5867,3,4);0.269198;1.000000;
198;(56588,2,16);0.269479;1.000000;
199;(110308,0,4);0.269558;1.000000;
200;(100609,4,9);0.270330;1.000000;
201;(62792,0,5);0.270798;1.000000;
202;(80234,1,2);0.271345;1.000000;
203;(30065,2,23);0.271903;1.000000;
204;(37911,3,1);0.272022;1.000000;
205;(89775,3,1);0.272022;1.000000;
206;(68543,4,5);0.273065;1.000000;
207;(30065,2,27);0.273752;1.000000;
208;(22265,5,32);0.275076;1.000000;
209;(73128,1,1);0.275509;1.000000;
210;(65326,3,15);0.275670;1.000000;
211;(81895,5,3);0.275670;1.000000;
212;(89587,1,178);0.276808;1.000000;
213;(30065,2,22);0.276937;1.000000;
214;(32981,0,50);0.277180;1.000000;
215;(4591,2,69);0.277314;1.000000;
216;(8772,1,70);0.277314;1.000000;
217;(1081,1,0);0.277795;1.000000;
218;(102474,0,23);0.278726;1.000000;
219;(84954,4,522);0.279016;1.000000;
220;(5955,0,5);0.279319;1.000000;
221;(87448,0,48);0.279765;1.000000;
222;(95549,0,4);0.280139;1.000000;
223;(53046,1,435);0.280396;1.000000;
224;(10041,0,15);0.281030;1.000000;
225;(12981,1,42);0.281030;1.000000;
