k,time
1,8.222485
3,65.837264
5,81.695342
10,81.942410
30,81.942446
50,81.942476
100,82.862200
300,82.862481
500,82.862784
1000,82.863531
1,88.553273
3,88.642307
5,88.734030
10,88.734038
30,88.757567
50,88.757595
100,88.848847
300,88.849150
500,88.849436
1000,88.850175
1,64.859609
3,73.991929
5,75.721565
10,78.823192
30,81.631905
50,81.838214
100,83.442628
300,83.442941
500,83.443230
1000,84.199848
1,84.795238
3,84.795241
5,84.795244
10,84.884358
30,84.973270
50,84.973295
100,84.973369
300,84.973683
500,84.973965
1000,85.862027
1,59.834054
3,60.315291
5,62.688747
10,65.339226
30,67.373435
50,70.701780
100,78.071622
300,80.420697
500,80.421001
1000,80.421756
1,0.002310
3,0.002313
5,0.002319
10,0.002326
30,0.918544
50,0.918583
100,6.411135
300,24.410018
500,28.867888
1000,40.969207
1,76.111296
3,81.648239
5,83.462599
10,84.308151
30,86.967404
50,86.967437
100,87.796014
300,88.618208
500,88.618490
1000,88.619248
1,83.909057
3,84.707229
5,84.707233
10,84.707243
30,84.707284
50,84.707315
100,84.707394
300,85.629016
500,85.629327
1000,85.630096
1,67.769759
3,73.996892
5,75.222346
10,75.268908
30,75.514935
50,75.537964
100,75.606934
300,75.942562
500,76.077566
1000,76.459429
1,81.399434
3,81.423499
5,81.447852
10,81.447859
30,81.472178
50,81.472202
100,81.472275
300,81.472570
500,81.472866
1000,81.473621
