k,time
1,1.123649
3,9.036052
5,9.036053
10,9.036056
30,9.036062
50,9.036065
100,9.036071
300,9.036113
500,9.036150
1000,9.036250
1,4.902537
3,4.902537
5,4.902537
10,4.902537
30,4.902540
50,4.902542
100,4.902551
300,4.902580
500,4.902608
1000,4.902671
1,3.797902
3,4.018068
5,4.018068
10,4.120235
30,4.120243
50,4.120256
100,4.180079
300,4.180109
500,4.180132
1000,4.180205
1,4.052459
3,4.052459
5,4.052460
10,4.052462
30,4.052464
50,4.052469
100,4.052487
300,4.052534
500,4.052569
1000,4.209984
1,2.132179
3,2.327884
5,2.505134
10,3.231558
30,3.249213
50,3.859373
100,5.612589
300,5.612649
500,5.612705
1000,5.612806
1,3.003185
3,3.003186
5,3.003186
10,3.003187
30,3.003196
50,3.003203
100,3.499164
300,6.917910
500,7.985887
1000,9.334097
1,3.738701
3,4.111095
5,4.111095
10,4.111095
30,4.115015
50,4.115022
100,4.115037
300,4.115077
500,4.115122
1000,4.115218
1,3.955961
3,3.955962
5,3.955963
10,3.955963
30,3.955965
50,3.955967
100,3.955972
300,3.956007
500,3.956035
1000,3.956109
1,3.424718
3,3.429965
5,3.683674
10,3.683674
30,3.793257
50,3.793261
100,3.793272
300,3.793308
500,3.793338
1000,3.803568
1,3.368391
3,3.368391
5,3.368391
10,3.368391
30,3.368392
50,3.368395
100,3.368403
300,3.368432
500,3.368469
1000,3.368584
