k,time
1,0.002498
3,0.002501
5,0.002508
7,0.002511
10,0.002518
30,0.002546
50,0.002583
70,2.148353
100,53.956028
300,97.839622
500,97.839966
700,97.840286
1000,97.840767
1,111.705414
3,111.705414
5,111.705414
7,111.705414
10,111.705429
30,111.705460
50,112.819313
70,112.819359
100,112.819397
300,112.819786
500,112.820114
700,112.820442
1000,112.820992
1,0.002188
3,0.002193
5,0.002195
7,0.002198
10,0.002201
30,0.002237
50,0.002269
70,0.002304
100,0.002353
300,0.002654
500,85.213318
700,85.213615
1000,86.208076
1,0.001961
3,0.001964
5,0.001966
7,0.001968
10,0.001970
30,0.002002
50,0.002024
70,0.002056
100,0.002099
300,0.002365
500,70.142822
700,72.424896
1000,72.425285
1,50.549072
3,55.529610
5,61.429905
7,61.502689
10,62.461082
30,62.536869
50,62.536884
70,62.536915
100,62.536961
300,62.537151
500,62.537361
700,62.537575
1000,62.537884
1,58.752396
3,61.857723
5,62.926125
7,62.926125
10,62.926125
30,62.926140
50,62.926163
70,62.926205
100,62.926220
300,63.029999
500,63.030228
700,64.106644
1000,64.106972
1,56.630878
3,60.663486
5,60.663494
7,60.663506
10,61.934944
30,62.978889
50,63.943909
70,63.943939
100,63.943958
300,63.944164
500,63.944370
700,63.944584
1000,63.944904
1,80.042175
3,80.123489
5,81.232018
7,81.232018
10,81.232033
30,82.442947
50,82.442970
70,82.442970
100,82.443008
300,84.500702
500,84.500885
700,84.501114
1000,84.501411
1,0.984427
3,0.984430
5,0.984432
10,0.984439
30,0.984460
50,1.508319
100,2.168748
300,6.404419
500,8.307855
1000,11.796305

