k,time
1,0.006730
3,0.006730
5,0.006730
10,0.006733
30,0.006738
50,0.006741
100,5.314457
300,9.526006
500,9.526074
1000,9.526250
1,26.270184
3,26.270185
5,26.270187
10,26.270194
30,26.270217
50,26.410579
100,26.410597
300,26.410760
500,26.410949
1000,26.411428
1,47.536397
3,51.065164
5,51.912605
10,53.690594
30,54.752817
50,55.145112
100,55.146429
300,55.146474
500,55.254507
1000,55.254714
1,0.000370
3,0.000371
5,0.000371
10,0.000371
30,0.000377
50,0.000382
100,0.000388
300,0.000432
500,30.549044
1000,30.549340
1,0.000370
3,0.000371
5,0.000371
10,0.000371
30,0.000377
50,0.000382
100,0.000388
300,0.000432
500,30.549044
1000,30.549340
1,0.001165
3,0.001165
5,0.001165
10,0.001167
30,0.001170
50,0.001173
100,0.001181
300,0.001206
500,29.184990
1000,29.318618
1,34.155929
3,34.670683
5,34.670683
10,34.670684
30,34.670686
50,34.670688
100,34.670695
300,34.670714
500,34.670751
1000,34.670796
1,28.175057
3,28.623733
5,28.654617
10,28.781328
30,28.819172
50,28.819177
100,28.819187
300,28.819219
500,28.819254
1000,28.819337
1,37.017630
3,37.304215
5,37.304215
10,37.304216
30,37.304221
50,37.304228
100,37.304244
300,37.304304
500,37.304363
1000,37.739676
