k,time
1,0.042769
3,0.042769
5,0.042769
10,0.042769
30,0.042770
50,0.042771
100,7.269483
300,7.556664
500,7.556668
1000,7.556676
1,6.963040
3,6.963040
5,6.963040
10,6.963040
30,6.963041
50,7.103908
100,7.103909
300,7.103912
500,7.103916
1000,7.103923
1,0.000077
3,0.000077
5,0.000077
10,0.000077
30,0.000078
50,0.000079
100,0.000081
300,0.000107
500,4.930606
1000,4.930867
1,0.015285
3,0.015285
5,0.015285
10,0.015285
30,0.015285
50,0.015286
100,0.015286
300,0.015292
500,3.661455
1000,3.661463
1,2.336303
3,2.664154
5,2.664154
10,2.664154
30,2.664155
50,2.664155
100,2.664155
300,2.664158
500,2.664162
1000,2.664170
1,3.131476
3,3.131476
5,3.385058
10,3.385058
30,3.385060
50,3.385062
100,3.385073
300,3.385094
500,3.385116
1000,3.385146
1,2.672655
3,2.755079
5,3.281874
10,3.281875
30,3.281877
50,3.281877
100,3.281878
300,3.281892
500,3.281900
1000,3.281915
1,2.983294
3,2.983294
5,2.983294
10,2.983294
30,2.983296
50,2.983296
100,2.983298
300,2.983309
500,2.983313
1000,2.983370
1,2.619313
3,2.763172
5,2.763172
10,3.001789
30,3.001789
50,3.164482
100,3.164483
300,3.164499
500,3.164528
1000,3.164593

