k,d,recall,time
1,0.000000,0.015873,0.000077
2,0.000000,0.031746,0.000077
3,0.000000,0.047619,0.000077
4,0.000000,0.063492,0.000077
5,0.000000,0.079365,0.000077
6,0.000000,0.095238,0.000077
7,0.000000,0.111111,0.000077
8,0.000000,0.126984,0.000077
9,0.000000,0.142857,0.000077
10,0.000000,0.158730,0.000077
11,0.000000,0.174603,0.000077
12,0.000000,0.190476,0.000077
13,0.000000,0.206349,0.000077
14,0.000000,0.222222,0.000077
15,0.000000,0.238095,0.000077
16,0.000000,0.253968,0.000077
17,0.000000,0.269841,0.000077
18,0.000000,0.285714,0.000077
19,0.000000,0.301587,0.000077
20,0.000000,0.317460,0.000077
21,0.000000,0.333333,0.000077
22,0.000000,0.349206,0.000077
23,0.000000,0.365079,0.000077
24,0.000000,0.380952,0.000077
25,0.000000,0.396825,0.000077
26,0.000000,0.412698,0.000077
27,0.000000,0.428571,0.000077
28,0.000000,0.444444,0.000077
29,0.000000,0.460317,0.000077
30,0.000000,0.476190,0.000077
31,0.000000,0.492063,0.000077
32,0.000000,0.507937,0.000077
33,0.000000,0.523810,0.000077
34,0.000000,0.539683,0.000077
35,0.000000,0.555556,0.000077
36,0.000000,0.571429,0.000077
37,0.000000,0.587302,0.000077
38,0.000000,0.603175,0.000077
39,0.000000,0.619048,0.000077
40,0.000000,0.634921,0.000077
41,0.000000,0.650794,0.000077
42,0.000000,0.666667,0.000077
43,0.000000,0.682540,0.000078
44,0.000000,0.698413,0.000078
45,0.000000,0.714286,0.000078
46,0.000000,0.730159,0.000078
47,0.000000,0.746032,0.000078
48,0.000000,0.761905,0.000078
49,0.000000,0.777778,0.000078
50,0.000000,0.793651,0.000078
51,0.000000,0.809524,0.000078
52,0.000000,0.825397,0.000078
53,0.000000,0.841270,0.000078
54,0.000000,0.857143,0.000078
55,0.000000,0.873016,0.000078
56,0.000000,0.888889,0.000078
57,0.000000,0.904762,0.000078
58,0.000000,0.920635,0.000078
59,0.000000,0.936508,0.000078
60,0.000000,0.952381,0.000078
61,0.000000,0.968254,0.000078
62,0.000000,0.984127,0.000078
63,0.000000,1.000000,0.000078
64,0.089391,1.000000,1.386303
65,0.189216,0.511811,1.596079
66,0.189216,0.519685,1.596079
67,0.189216,0.527559,1.596079
68,0.189216,0.535433,1.596079
69,0.189216,0.543307,1.596079
70,0.189216,0.551181,1.596079
71,0.189216,0.559055,1.596079
72,0.189216,0.566929,1.596079
73,0.189216,0.574803,1.596079
74,0.189216,0.582677,1.596079
75,0.189216,0.590551,1.596079
76,0.189216,0.598425,1.596079
77,0.189216,0.606299,1.596080
78,0.189216,0.614173,1.596080
79,0.189216,0.622047,1.596080
80,0.189216,0.629921,1.596080
81,0.189216,0.637795,1.596080
82,0.189216,0.645669,1.596080
83,0.189216,0.653543,1.596080
84,0.189216,0.661417,1.596080
