algorithm,total-files,data-gb-size,k,TQ:Q,recall,precision,querytime
kashif,100000,1,1,TQ70Q0,0.012186955939466988,1.0,0.0426
kashif,100000,1,3,TQ70Q0,0.03656086781840096,1.0,0.1347
kashif,100000,1,5,TQ70Q0,0.06093477969733494,1.0,0.2344
kashif,100000,1,10,TQ70Q0,0.12186955939466988,1.0,0.5079
kashif,100000,1,30,TQ70Q0,0.36560867818400966,1.0,1.7477
kashif,100000,1,50,TQ70Q0,0.6093477969733494,1.0,3.1514
kashif,100000,1,100,TQ70Q0,0.9907593411008437,1.0,7.2070
kashif,100000,1,300,TQ70Q0,1.0,1.0,22.8863
kashif,100000,1,500,TQ70Q0,1.0,1.0,39.3879
kashif,100000,1,1000,TQ70Q0,1.0,1.0,81.7978
kashif,100000,1,3000,TQ70Q0,1.0,1.0,251.3160
kashif,100000,1,5000,TQ70Q0,1.0,1.0,419.8448
kashif,100000,1,10000,TQ70Q0,1.0,1.0,836.8843
kashif,100000,1,1,TQ100Q0,0.017575757575757574,1.0,0.0448
kashif,100000,1,3,TQ100Q0,0.02727272727272727,1.0,0.3770
kashif,100000,1,5,TQ100Q0,0.034545454545454546,1.0,0.4936
kashif,100000,1,10,TQ100Q0,0.05272727272727273,1.0,0.8177
kashif,100000,1,30,TQ100Q0,0.12545454545454546,1.0,2.2678
kashif,100000,1,50,TQ100Q0,0.19818181818181818,1.0,3.9997
kashif,100000,1,100,TQ100Q0,0.28,1.0,8.0494
kashif,100000,1,300,TQ100Q0,0.4012121212121212,1.0,24.3777
kashif,100000,1,500,TQ100Q0,0.5224242424242425,1.0,40.2384
kashif,100000,1,1000,TQ100Q0,0.8254545454545454,1.0,81.4823
kashif,100000,1,3000,TQ100Q0,1.0,1.0,244.0517
kashif,100000,1,5000,TQ100Q0,1.0,1.0,404.9577
kashif,100000,1,10000,TQ100Q0,1.0,1.0,802.4601
kashif,100000,1,1,TQ104Q0,0.003461757758410035,1.0,0.1320
kashif,100000,1,3,TQ104Q0,0.010385273275230105,1.0,0.1594
kashif,100000,1,5,TQ104Q0,0.017308788792050174,1.0,0.1971
kashif,100000,1,10,TQ104Q0,0.03461757758410035,1.0,0.3612
kashif,100000,1,30,TQ104Q0,0.10385273275230104,1.0,1.2162
kashif,100000,1,50,TQ104Q0,0.17308788792050175,1.0,2.2072
kashif,100000,1,100,TQ104Q0,0.3461757758410035,1.0,4.9567
kashif,100000,1,300,TQ104Q0,0.9748309847682659,1.0,18.1967
kashif,100000,1,500,TQ104Q0,0.9951535391382259,1.0,33.4424
kashif,100000,1,1000,TQ104Q0,1.0,1.0,74.1103
kashif,100000,1,3000,TQ104Q0,1.0,1.0,234.6808
kashif,100000,1,5000,TQ104Q0,1.0,1.0,392.7327
kashif,100000,1,10000,TQ104Q0,1.0,1.0,782.0027
kashif,100000,1,1,TQ104Q1,0.0035475167382832016,1.0,0.0106
kashif,100000,1,3,TQ104Q1,0.010642550214849606,1.0,0.0379
kashif,100000,1,5,TQ104Q1,0.01773758369141601,1.0,0.0750
kashif,100000,1,10,TQ104Q1,0.03547516738283202,1.0,0.2271
kashif,100000,1,30,TQ104Q1,0.10642550214849605,1.0,0.9759
kashif,100000,1,50,TQ104Q1,0.1773758369141601,1.0,1.8439
kashif,100000,1,100,TQ104Q1,0.3547516738283202,1.0,4.2182
kashif,100000,1,300,TQ104Q1,0.9918057359848106,1.0,15.6588
kashif,100000,1,500,TQ104Q1,1.0,1.0,29.7154
kashif,100000,1,1000,TQ104Q1,1.0,1.0,64.5402
kashif,100000,1,3000,TQ104Q1,1.0,1.0,203.9156
