Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Morocco,1961,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.6499999999999995,2.0700000000000003,4.2,1.6400000000000001,4.12,6.88,,,,52.849999999999994,,22.590000000000003,,3.83,6.300000000000001,1.3,3.46
Morocco,1962,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.0699999999999994,1.2100000000000002,4.17,1.47,3.92,6.2700000000000005,,,,52.849999999999994,,23.110000000000003,,3.83,5.9,1.1,3.18
Morocco,1963,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.2299999999999995,1.54,4.25,1.35,3.93,6.16,,,,51.8,,23.540000000000003,,3.83,4.300000000000001,0.9600000000000001,3.1000000000000005
Morocco,1964,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.1599999999999997,1.6300000000000001,4.33,1.44,3.95,6.33,,,,51.88999999999999,,22.260000000000005,,3.83,4.300000000000001,0.8,2.97
Morocco,1965,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.1499999999999995,1.58,4.24,1.49,3.95,6.43,,,,53.709999999999994,,22.120000000000005,,3.33,5.1000000000000005,1.4,2.9000000000000004
Morocco,1966,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.4899999999999998,2.0900000000000003,4.33,1.6099999999999999,4.18,6.7700000000000005,,,,45.75999999999999,,22.050000000000004,,3.83,4.790000000000001,1.52,2.79
Morocco,1967,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.3599999999999994,1.7100000000000002,4.18,1.52,3.93,6.53,,,,54.83,,24.050000000000004,,3.58,4.210000000000001,1.56,3.21
Morocco,1968,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,2.7799999999999994,0.9300000000000002,4.0,1.1099999999999999,3.31,6.44,,,,43.629999999999995,,24.590000000000003,,3.42,4.040000000000001,1.36,2.96
Morocco,1969,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.3499999999999996,1.4400000000000002,4.17,1.69,3.8600000000000003,6.2700000000000005,,,,44.769999999999996,,21.880000000000003,,3.54,3.500000000000001,1.6300000000000001,3.0
Morocco,1970,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.1499999999999995,1.4100000000000001,3.81,1.13,3.77,6.57,,,,41.019999999999996,,22.770000000000003,,3.7600000000000002,4.300000000000001,0.91,3.12
Morocco,1971,2.43,0.0,4.24,4.33,7.2,1.99,0.0,32.59,1.87,9.3,4.7,4.58,2.64,72.85,110.98,1.8,4.1,3.01,1.1600000000000001,4.11,1.31,3.13,6.34,,,,36.019999999999996,,22.770000000000003,,3.58,6.6000000000000005,0.9800000000000001,2.6900000000000004
