TQ:Q, TS:S, q_pos, s_pos, q, s, d
69:0, 1117:2, 7, 1, [], [], 0.000
69:0, 10053:2, 7, 3, [], [], 0.000
69:0, 13174:2, 7, 2, [], [], 0.000
69:0, 15857:7, 46, 1, [], [], 0.000
69:0, 21574:0, 24, 9, [], [], 0.000
69:0, 21574:0, 25, 10, [], [], 0.000
69:0, 21574:0, 46, 33, [], [], 0.000
69:0, 23075:4, 7, 0, [], [], 0.000
69:0, 31444:7, 46, 1, [], [], 0.000
69:0, 35841:2, 7, 3, [], [], 0.000
69:0, 36092:2, 37, 35, [], [], 0.000
69:0, 36515:5, 1, 1, [], [], 0.000
69:0, 36515:5, 3, 2, [], [], 0.000
69:0, 36515:5, 4, 7, [], [], 0.000
69:0, 36515:5, 5, 8, [], [], 0.000
69:0, 40686:6, 6, 1, [], [], 0.000
69:0, 41611:2, 7, 3, [], [], 0.000
69:0, 44860:2, 7, 3, [], [], 0.000
69:0, 56194:0, 0, 24, [], [], 0.000
69:0, 56194:0, 1, 25, [], [], 0.000
69:0, 56194:0, 2, 26, [], [], 0.000
69:0, 56194:0, 3, 27, [], [], 0.000
69:0, 56276:8, 2, 1, [], [], 0.000
69:0, 74300:2, 7, 3, [], [], 0.000
69:0, 85627:2, 4, 3, [], [], 0.000
69:0, 92690:0, 1, 7, [], [], 0.000
69:0, 92690:0, 4, 15, [], [], 0.000
69:0, 92690:0, 5, 16, [], [], 0.000
69:0, 94256:0, 0, 3, [], [], 0.000
69:0, 94256:0, 1, 4, [], [], 0.000
69:0, 94256:0, 2, 5, [], [], 0.000
69:0, 94256:0, 3, 6, [], [], 0.000
69:0, 94256:0, 24, 24, [], [], 0.000
69:0, 94256:0, 25, 25, [], [], 0.000
69:0, 97576:1, 24, 5, [], [], 0.000
