TQ:Q, TS:S, q_pos, s_pos, q, s, d
104:1, 895:1, 0, 0, [], [], 0.000
104:1, 980:1, 0, 0, [], [], 0.000
104:1, 1296:1, 0, 0, [], [], 0.000
104:1, 1398:1, 0, 0, [], [], 0.000
104:1, 2035:1, 0, 0, [], [], 0.000
104:1, 4123:1, 0, 0, [], [], 0.000
104:1, 5393:1, 0, 0, [], [], 0.000
104:1, 5418:1, 0, 0, [], [], 0.000
104:1, 6320:1, 0, 0, [], [], 0.000
104:1, 6667:1, 0, 0, [], [], 0.000
104:1, 6894:1, 0, 0, [], [], 0.000
104:1, 8521:1, 0, 0, [], [], 0.000
104:1, 8943:1, 0, 0, [], [], 0.000
104:1, 9768:1, 0, 0, [], [], 0.000
104:1, 10176:1, 0, 0, [], [], 0.000
104:1, 10373:1, 0, 0, [], [], 0.000
104:1, 10383:1, 0, 0, [], [], 0.000
104:1, 10640:1, 0, 0, [], [], 0.000
104:1, 11824:1, 0, 0, [], [], 0.000
104:1, 11968:1, 0, 0, [], [], 0.000
104:1, 12043:1, 0, 0, [], [], 0.000
104:1, 12182:1, 0, 0, [], [], 0.000
104:1, 12220:1, 0, 0, [], [], 0.000
104:1, 13076:1, 0, 0, [], [], 0.000
104:1, 13349:1, 0, 0, [], [], 0.000
104:1, 13996:1, 0, 0, [], [], 0.000
104:1, 14225:1, 0, 0, [], [], 0.000
104:1, 14657:1, 0, 0, [], [], 0.000
104:1, 15349:1, 0, 0, [], [], 0.000
104:1, 15905:1, 0, 0, [], [], 0.000
104:1, 16704:1, 0, 0, [], [], 0.000
104:1, 16948:1, 0, 0, [], [], 0.000
104:1, 17056:1, 0, 0, [], [], 0.000
104:1, 17061:1, 0, 0, [], [], 0.000
104:1, 17673:1, 0, 0, [], [], 0.000
104:1, 18102:1, 0, 0, [], [], 0.000
104:1, 18733:1, 0, 0, [], [], 0.000
104:1, 19228:1, 0, 0, [], [], 0.000
104:1, 19612:1, 0, 0, [], [], 0.000
104:1, 19803:1, 0, 0, [], [], 0.000
104:1, 20108:1, 0, 0, [], [], 0.000
104:1, 20146:1, 0, 0, [], [], 0.000
104:1, 20364:1, 0, 0, [], [], 0.000
104:1, 20556:1, 0, 0, [], [], 0.000
104:1, 21254:1, 0, 0, [], [], 0.000
104:1, 21443:1, 0, 0, [], [], 0.000
104:1, 22096:1, 0, 0, [], [], 0.000
104:1, 22686:1, 0, 0, [], [], 0.000
104:1, 22820:1, 0, 0, [], [], 0.000
104:1, 22973:1, 0, 0, [], [], 0.000
104:1, 23077:1, 0, 0, [], [], 0.000
104:1, 23079:1, 0, 0, [], [], 0.000
104:1, 23529:1, 0, 0, [], [], 0.000
104:1, 23884:1, 0, 0, [], [], 0.000
104:1, 24692:1, 0, 0, [], [], 0.000
104:1, 24846:1, 0, 0, [], [], 0.000
104:1, 24920:1, 0, 0, [], [], 0.000
104:1, 25360:1, 0, 0, [], [], 0.000
104:1, 25536:1, 0, 0, [], [], 0.000
104:1, 25696:1, 0, 0, [], [], 0.000
104:1, 26032:1, 0, 0, [], [], 0.000
104:1, 26109:1, 0, 0, [], [], 0.000
104:1, 26385:1, 0, 0, [], [], 0.000
104:1, 26530:1, 0, 0, [], [], 0.000
104:1, 26605:1, 0, 0, [], [], 0.000
104:1, 27800:1, 0, 0, [], [], 0.000
104:1, 28572:1, 0, 0, [], [], 0.000
104:1, 28632:1, 0, 0, [], [], 0.000
104:1, 29043:1, 0, 0, [], [], 0.000
104:1, 29121:1, 0, 0, [], [], 0.000
104:1, 29178:1, 0, 0, [], [], 0.000
104:1, 29368:1, 0, 0, [], [], 0.000
104:1, 30371:1, 0, 0, [], [], 0.000
104:1, 31123:1, 0, 0, [], [], 0.000
104:1, 31648:1, 0, 0, [], [], 0.000
104:1, 32495:1, 0, 0, [], [], 0.000
104:1, 32513:1, 0, 0, [], [], 0.000
104:1, 32544:1, 0, 0, [], [], 0.000
104:1, 33466:1, 0, 0, [], [], 0.000
104:1, 33497:1, 0, 0, [], [], 0.000
104:1, 33553:1, 0, 0, [], [], 0.000
104:1, 33934:1, 0, 0, [], [], 0.000
104:1, 33870:1, 0, 0, [], [], 0.000
104:1, 34164:1, 0, 0, [], [], 0.000
104:1, 34836:1, 0, 0, [], [], 0.000
104:1, 35257:1, 0, 0, [], [], 0.000
104:1, 35477:1, 0, 0, [], [], 0.000
104:1, 35686:1, 0, 0, [], [], 0.000
104:1, 35726:1, 0, 0, [], [], 0.000
104:1, 35770:1, 0, 0, [], [], 0.000
104:1, 36058:1, 0, 0, [], [], 0.000
104:1, 36016:1, 0, 0, [], [], 0.000
104:1, 35932:1, 0, 0, [], [], 0.000
104:1, 36750:1, 0, 0, [], [], 0.000
104:1, 36808:1, 0, 0, [], [], 0.000
104:1, 37292:1, 0, 0, [], [], 0.000
104:1, 38046:1, 0, 0, [], [], 0.000
104:1, 38818:1, 0, 0, [], [], 0.000
104:1, 39133:1, 0, 0, [], [], 0.000
104:1, 39888:1, 0, 0, [], [], 0.000
104:1, 39942:1, 0, 0, [], [], 0.000
104:1, 40208:1, 0, 0, [], [], 0.000
104:1, 40478:1, 0, 0, [], [], 0.000
104:1, 41002:1, 0, 0, [], [], 0.000
104:1, 41223:1, 0, 0, [], [], 0.000
104:1, 41231:1, 0, 0, [], [], 0.000
104:1, 41324:1, 0, 0, [], [], 0.000
104:1, 42133:1, 0, 0, [], [], 0.000
104:1, 42150:1, 0, 0, [], [], 0.000
104:1, 42502:1, 0, 0, [], [], 0.000
104:1, 42955:1, 0, 0, [], [], 0.000
104:1, 43132:1, 0, 0, [], [], 0.000
104:1, 43032:1, 0, 0, [], [], 0.000
104:1, 43603:1, 0, 0, [], [], 0.000
104:1, 44059:1, 0, 0, [], [], 0.000
104:1, 44079:1, 0, 0, [], [], 0.000
104:1, 44820:1, 0, 0, [], [], 0.000
104:1, 45341:1, 0, 0, [], [], 0.000
104:1, 45619:1, 0, 0, [], [], 0.000
104:1, 46091:1, 0, 0, [], [], 0.000
104:1, 46440:1, 0, 0, [], [], 0.000
104:1, 46772:1, 0, 0, [], [], 0.000
104:1, 46803:1, 0, 0, [], [], 0.000
104:1, 47403:1, 0, 0, [], [], 0.000
104:1, 47404:1, 0, 0, [], [], 0.000
104:1, 47630:1, 0, 0, [], [], 0.000
104:1, 48357:1, 0, 0, [], [], 0.000
104:1, 48616:1, 0, 0, [], [], 0.000
104:1, 48919:1, 0, 0, [], [], 0.000
104:1, 48924:1, 0, 0, [], [], 0.000
104:1, 49269:1, 0, 0, [], [], 0.000
104:1, 49040:1, 0, 0, [], [], 0.000
104:1, 49119:1, 0, 0, [], [], 0.000
104:1, 49605:1, 0, 0, [], [], 0.000
104:1, 49674:1, 0, 0, [], [], 0.000
104:1, 49829:1, 0, 0, [], [], 0.000
104:1, 50006:1, 0, 0, [], [], 0.000
104:1, 50485:1, 0, 0, [], [], 0.000
104:1, 51316:1, 0, 0, [], [], 0.000
104:1, 51693:1, 0, 0, [], [], 0.000
104:1, 52736:1, 0, 0, [], [], 0.000
104:1, 53746:1, 0, 0, [], [], 0.000
104:1, 53912:1, 0, 0, [], [], 0.000
104:1, 54167:1, 0, 0, [], [], 0.000
104:1, 54297:1, 0, 0, [], [], 0.000
104:1, 54596:1, 0, 0, [], [], 0.000
104:1, 54778:1, 0, 0, [], [], 0.000
104:1, 55171:1, 0, 0, [], [], 0.000
104:1, 54935:1, 0, 0, [], [], 0.000
104:1, 55268:1, 0, 0, [], [], 0.000
104:1, 56470:1, 0, 0, [], [], 0.000
104:1, 56693:1, 0, 0, [], [], 0.000
104:1, 56927:1, 0, 0, [], [], 0.000
104:1, 57448:1, 0, 0, [], [], 0.000
104:1, 58616:1, 0, 0, [], [], 0.000
104:1, 58878:1, 0, 0, [], [], 0.000
104:1, 59049:1, 0, 0, [], [], 0.000
104:1, 59499:1, 0, 0, [], [], 0.000
104:1, 59749:1, 0, 0, [], [], 0.000
104:1, 60486:1, 0, 0, [], [], 0.000
104:1, 60637:1, 0, 0, [], [], 0.000
104:1, 60869:1, 0, 0, [], [], 0.000
104:1, 61354:1, 0, 0, [], [], 0.000
104:1, 61427:1, 0, 0, [], [], 0.000
104:1, 61821:1, 0, 0, [], [], 0.000
104:1, 61868:1, 0, 0, [], [], 0.000
104:1, 63275:1, 0, 0, [], [], 0.000
104:1, 64781:1, 0, 0, [], [], 0.000
104:1, 65045:1, 0, 0, [], [], 0.000
104:1, 65178:1, 0, 0, [], [], 0.000
104:1, 65596:1, 0, 0, [], [], 0.000
104:1, 65614:1, 0, 0, [], [], 0.000
104:1, 65984:1, 0, 0, [], [], 0.000
104:1, 66198:1, 0, 0, [], [], 0.000
104:1, 66212:1, 0, 0, [], [], 0.000
104:1, 66286:1, 0, 0, [], [], 0.000
104:1, 66697:1, 0, 0, [], [], 0.000
104:1, 66743:1, 0, 0, [], [], 0.000
104:1, 66891:1, 0, 0, [], [], 0.000
104:1, 67742:1, 0, 0, [], [], 0.000
104:1, 67912:1, 0, 0, [], [], 0.000
104:1, 68064:1, 0, 0, [], [], 0.000
104:1, 68117:1, 0, 0, [], [], 0.000
104:1, 68349:1, 0, 0, [], [], 0.000
104:1, 68622:1, 0, 0, [], [], 0.000
104:1, 68755:1, 0, 0, [], [], 0.000
104:1, 68810:1, 0, 0, [], [], 0.000
104:1, 68870:1, 0, 0, [], [], 0.000
104:1, 69121:1, 0, 0, [], [], 0.000
104:1, 69127:1, 0, 0, [], [], 0.000
104:1, 69793:1, 0, 0, [], [], 0.000
104:1, 70013:1, 0, 0, [], [], 0.000
104:1, 69903:1, 0, 0, [], [], 0.000
104:1, 70392:1, 0, 0, [], [], 0.000
104:1, 70727:1, 0, 0, [], [], 0.000
104:1, 71637:1, 0, 0, [], [], 0.000
104:1, 71970:1, 0, 0, [], [], 0.000
104:1, 72554:1, 0, 0, [], [], 0.000
104:1, 72563:1, 0, 0, [], [], 0.000
104:1, 72820:1, 0, 0, [], [], 0.000
104:1, 73317:1, 0, 0, [], [], 0.000
104:1, 73482:1, 0, 0, [], [], 0.000
104:1, 73775:1, 0, 0, [], [], 0.000
104:1, 73857:1, 0, 0, [], [], 0.000
104:1, 73883:1, 0, 0, [], [], 0.000
104:1, 74143:1, 0, 0, [], [], 0.000
104:1, 74219:1, 0, 0, [], [], 0.000
104:1, 74536:1, 0, 0, [], [], 0.000
104:1, 74728:1, 0, 0, [], [], 0.000
104:1, 74895:1, 0, 0, [], [], 0.000
104:1, 75006:1, 0, 0, [], [], 0.000
104:1, 75456:1, 0, 0, [], [], 0.000
104:1, 76250:1, 0, 0, [], [], 0.000
104:1, 76515:1, 0, 0, [], [], 0.000
104:1, 77120:1, 0, 0, [], [], 0.000
104:1, 77404:1, 0, 0, [], [], 0.000
104:1, 77732:1, 0, 0, [], [], 0.000
104:1, 78930:1, 0, 0, [], [], 0.000
104:1, 79292:1, 0, 0, [], [], 0.000
104:1, 79171:1, 0, 0, [], [], 0.000
104:1, 80150:1, 0, 0, [], [], 0.000
104:1, 79934:1, 0, 0, [], [], 0.000
104:1, 80002:1, 0, 0, [], [], 0.000
104:1, 80045:1, 0, 0, [], [], 0.000
104:1, 81162:1, 0, 0, [], [], 0.000
104:1, 81193:3, 0, 0, [], [], 0.000
104:1, 81309:1, 0, 0, [], [], 0.000
104:1, 81573:1, 0, 0, [], [], 0.000
104:1, 81615:1, 0, 0, [], [], 0.000
104:1, 81851:1, 0, 0, [], [], 0.000
104:1, 82126:1, 0, 0, [], [], 0.000
104:1, 82149:1, 0, 0, [], [], 0.000
104:1, 82722:1, 0, 0, [], [], 0.000
104:1, 83771:1, 0, 0, [], [], 0.000
104:1, 84322:1, 0, 0, [], [], 0.000
104:1, 84423:1, 0, 0, [], [], 0.000
104:1, 84697:1, 0, 0, [], [], 0.000
104:1, 84900:1, 0, 0, [], [], 0.000
104:1, 85027:1, 0, 0, [], [], 0.000
104:1, 85056:1, 0, 0, [], [], 0.000
104:1, 85234:1, 0, 0, [], [], 0.000
104:1, 85385:1, 0, 0, [], [], 0.000
104:1, 85386:1, 0, 0, [], [], 0.000
104:1, 85640:1, 0, 0, [], [], 0.000
104:1, 86415:1, 0, 0, [], [], 0.000
104:1, 86920:1, 0, 0, [], [], 0.000
104:1, 87012:1, 0, 0, [], [], 0.000
104:1, 87094:1, 0, 0, [], [], 0.000
104:1, 87687:1, 0, 0, [], [], 0.000
104:1, 87723:1, 0, 0, [], [], 0.000
104:1, 88237:1, 0, 0, [], [], 0.000
104:1, 88477:1, 0, 0, [], [], 0.000
104:1, 88852:1, 0, 0, [], [], 0.000
104:1, 88961:1, 0, 0, [], [], 0.000
104:1, 90898:1, 0, 0, [], [], 0.000
104:1, 91598:1, 0, 0, [], [], 0.000
104:1, 92480:1, 0, 0, [], [], 0.000
104:1, 92711:1, 0, 0, [], [], 0.000
104:1, 92869:1, 0, 0, [], [], 0.000
104:1, 93313:1, 0, 0, [], [], 0.000
104:1, 93489:1, 0, 0, [], [], 0.000
104:1, 93612:1, 0, 0, [], [], 0.000
104:1, 94022:1, 0, 0, [], [], 0.000
104:1, 94260:1, 0, 0, [], [], 0.000
104:1, 94587:1, 0, 0, [], [], 0.000
104:1, 94751:1, 0, 0, [], [], 0.000
104:1, 94956:1, 0, 0, [], [], 0.000
104:1, 95063:1, 0, 0, [], [], 0.000
104:1, 95559:1, 0, 0, [], [], 0.000
104:1, 95880:1, 0, 0, [], [], 0.000
104:1, 96634:1, 0, 0, [], [], 0.000
104:1, 96660:1, 0, 0, [], [], 0.000
104:1, 97001:1, 0, 0, [], [], 0.000
104:1, 96967:1, 0, 0, [], [], 0.000
104:1, 97696:1, 0, 0, [], [], 0.000
104:1, 98207:1, 0, 0, [], [], 0.000
104:1, 98904:1, 0, 0, [], [], 0.000
104:1, 99303:1, 0, 0, [], [], 0.000
104:1, 99405:1, 0, 0, [], [], 0.000
104:1, 63120:1, 0, 905, [], [], 0.367
104:1, 63120:1, 0, 865, [], [], 0.426
104:1, 78832:2, 0, 56, [], [], 0.429
104:1, 56196:0, 0, 292, [], [], 0.429
104:1, 51544:0, 0, 224, [], [], 0.435
104:1, 35437:2, 0, 0, [], [], 0.435
104:1, 83448:4, 0, 22, [], [], 0.439
104:1, 83904:1, 0, 9, [], [], 0.440
104:1, 37732:1, 0, 0, [], [], 0.441
104:1, 19101:0, 0, 306, [], [], 0.443
104:1, 5052:0, 0, 29, [], [], 0.448
104:1, 9783:0, 0, 29, [], [], 0.448
104:1, 21460:0, 0, 29, [], [], 0.448
104:1, 22461:0, 0, 29, [], [], 0.448
104:1, 26270:0, 0, 29, [], [], 0.448
104:1, 31819:0, 0, 29, [], [], 0.448
104:1, 35258:0, 0, 29, [], [], 0.448
104:1, 43268:0, 0, 29, [], [], 0.448
104:1, 51504:0, 0, 29, [], [], 0.448
104:1, 59339:0, 0, 29, [], [], 0.448
104:1, 60160:0, 0, 29, [], [], 0.448
104:1, 78015:0, 0, 29, [], [], 0.448
104:1, 78120:0, 0, 29, [], [], 0.448
104:1, 81158:0, 0, 29, [], [], 0.448
104:1, 85580:0, 0, 29, [], [], 0.448
104:1, 86067:0, 0, 29, [], [], 0.448
104:1, 88829:0, 0, 29, [], [], 0.448
104:1, 95352:0, 0, 29, [], [], 0.448
104:1, 73353:0, 0, 11, [], [], 0.448
104:1, 87614:1, 0, 188, [], [], 0.448
104:1, 14017:4, 0, 8, [], [], 0.450
104:1, 11165:5, 0, 4, [], [], 0.450
104:1, 99403:0, 0, 45, [], [], 0.452
104:1, 32937:2, 0, 3, [], [], 0.452
104:1, 3569:1, 0, 34, [], [], 0.452
104:1, 88814:4, 0, 186, [], [], 0.452
104:1, 37827:3, 0, 25, [], [], 0.452
104:1, 54658:0, 0, 73, [], [], 0.452
104:1, 96111:0, 0, 53, [], [], 0.453
104:1, 85226:0, 0, 48, [], [], 0.453
104:1, 1849:2, 0, 5, [], [], 0.454
104:1, 55784:4, 0, 21, [], [], 0.454
104:1, 83909:1, 0, 5, [], [], 0.454
104:1, 61682:0, 0, 26, [], [], 0.455
104:1, 51544:2, 0, 254, [], [], 0.458
104:1, 37171:1, 0, 31, [], [], 0.458
104:1, 85366:0, 0, 2, [], [], 0.458
104:1, 35137:0, 0, 103, [], [], 0.459
104:1, 97225:2, 0, 134, [], [], 0.459
104:1, 28943:0, 0, 4, [], [], 0.460
104:1, 63120:1, 0, 516, [], [], 0.460
104:1, 86213:1, 0, 36, [], [], 0.461
104:1, 94048:0, 0, 2, [], [], 0.463
104:1, 17799:2, 0, 4, [], [], 0.464
104:1, 20348:0, 0, 2, [], [], 0.467
104:1, 49604:0, 0, 15, [], [], 0.468
104:1, 54769:0, 0, 32, [], [], 0.468
