TQ:Q, TS:S, q_pos, s_pos, q, s, d
4:0, 4:5, 0, 0, [], [], 0.000
4:0, 417:2, 0, 2, [], [], 0.000
4:0, 99949:3, 0, 0, [], [], 0.000
4:0, 4:5, 1, 1, [], [], 0.000
4:0, 417:2, 1, 3, [], [], 0.000
4:0, 99692:0, 1, 1, [], [], 0.000
4:0, 4:5, 2, 2, [], [], 0.000
4:0, 417:2, 2, 4, [], [], 0.000
4:0, 99421:0, 2, 4, [], [], 0.000
4:0, 4:5, 3, 3, [], [], 0.000
4:0, 417:2, 3, 5, [], [], 0.000
4:0, 99080:1, 3, 1, [], [], 0.000
4:0, 4:5, 4, 4, [], [], 0.000
4:0, 417:2, 4, 6, [], [], 0.000
4:0, 98373:8, 4, 0, [], [], 0.000
4:0, 4:5, 5, 5, [], [], 0.000
4:0, 417:2, 5, 7, [], [], 0.000
4:0, 99779:3, 5, 0, [], [], 0.000
4:0, 4:5, 6, 6, [], [], 0.000
4:0, 417:2, 6, 8, [], [], 0.000
4:0, 99214:2, 6, 1, [], [], 0.000
4:0, 4:5, 7, 7, [], [], 0.000
4:0, 417:2, 7, 9, [], [], 0.000
4:0, 99779:3, 7, 1, [], [], 0.000
4:0, 4:5, 8, 8, [], [], 0.000
4:0, 551:3, 8, 1, [], [], 0.000
4:0, 99832:6, 8, 0, [], [], 0.000
4:0, 4:5, 9, 9, [], [], 0.000
4:0, 417:2, 9, 12, [], [], 0.000
4:0, 99636:3, 9, 0, [], [], 0.000
4:0, 4:5, 10, 10, [], [], 0.000
4:0, 198:2, 10, 0, [], [], 0.000
4:0, 99314:0, 10, 0, [], [], 0.000
4:0, 4:5, 11, 11, [], [], 0.000
4:0, 126:10, 11, 0, [], [], 0.000
4:0, 100046:10, 11, 0, [], [], 0.000
4:0, 4:5, 12, 12, [], [], 0.000
4:0, 126:10, 12, 1, [], [], 0.000
4:0, 100046:10, 12, 1, [], [], 0.000
4:0, 4:5, 13, 13, [], [], 0.000
4:0, 126:10, 13, 2, [], [], 0.000
4:0, 99950:2, 13, 0, [], [], 0.000
4:0, 4:5, 14, 14, [], [], 0.000
4:0, 126:10, 14, 3, [], [], 0.000
4:0, 100046:10, 14, 3, [], [], 0.000
4:0, 4:5, 15, 15, [], [], 0.000
4:0, 126:10, 15, 5, [], [], 0.000
4:0, 100046:10, 15, 5, [], [], 0.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4:5, 17, 17, [], [], 0.000
4:0, 198:1, 17, 0, [], [], 0.000
4:0, 99950:2, 17, 1, [], [], 0.000
4:0, 4:5, 18, 18, [], [], 0.000
4:0, 126:9, 18, 0, [], [], 0.000
4:0, 100046:10, 18, 7, [], [], 0.000
4:0, 4:5, 19, 19, [], [], 0.000
4:0, 126:9, 19, 2, [], [], 0.000
4:0, 100046:10, 19, 9, [], [], 0.000
4:0, 4:5, 20, 20, [], [], 0.000
4:0, 126:9, 20, 5, [], [], 0.000
4:0, 100046:11, 20, 2, [], [], 0.000
4:0, 4:5, 21, 21, [], [], 0.000
4:0, 126:11, 21, 4, [], [], 0.000
4:0, 100046:11, 21, 4, [], [], 0.000
4:0, 4:5, 22, 22, [], [], 0.000
4:0, 126:9, 22, 9, [], [], 0.000
4:0, 100046:9, 22, 9, [], [], 0.000
4:0, 4:5, 23, 23, [], [], 0.000
4:0, 126:11, 23, 7, [], [], 0.000
4:0, 99977:2, 23, 1, [], [], 0.000
4:0, 4:5, 24, 24, [], [], 0.000
4:0, 126:9, 24, 10, [], [], 0.000
4:0, 100046:9, 24, 10, [], [], 0.000
4:0, 4:5, 25, 25, [], [], 0.000
4:0, 126:11, 25, 9, [], [], 0.000
4:0, 100046:11, 25, 9, [], [], 0.000
4:0, 4:5, 26, 26, [], [], 0.000
4:0, 126:11, 26, 10, [], [], 0.000
4:0, 100046:11, 26, 10, [], [], 0.000
4:0, 4:5, 27, 27, [], [], 0.000
4:0, 962:1, 27, 15, [], [], 0.000
4:0, 98952:2, 27, 6, [], [], 0.000
4:0, 4:5, 28, 28, [], [], 0.000
4:0, 551:1, 28, 17, [], [], 0.000
4:0, 95449:4, 28, 0, [], [], 0.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4:5, 30, 30, [], [], 0.000
4:0, 239:2, 30, 0, [], [], 0.000
4:0, 99312:3, 30, 2, [], [], 0.000
4:0, 4:5, 31, 31, [], [], 0.000
4:0, 551:2, 31, 13, [], [], 0.000
4:0, 99477:3, 31, 4, [], [], 0.000
4:0, 4:5, 32, 32, [], [], 0.000
4:0, 469:1, 32, 30, [], [], 0.000
4:0, 98373:2, 32, 3, [], [], 0.000
4:0, 4:5, 33, 33, [], [], 0.000
4:0, 397:2, 33, 4, [], [], 0.000
4:0, 98952:0, 33, 7, [], [], 0.000
4:0, 4:5, 34, 34, [], [], 0.000
4:0, 558:4, 34, 6, [], [], 0.000
4:0, 98386:0, 34, 0, [], [], 0.000
4:0, 4:5, 35, 35, [], [], 0.000
4:0, 551:2, 35, 15, [], [], 0.000
4:0, 99281:3, 35, 7, [], [], 0.000
4:0, 4:5, 36, 36, [], [], 0.000
4:0, 551:1, 36, 18, [], [], 0.000
4:0, 98641:6, 36, 5, [], [], 0.000
4:0, 4:5, 37, 37, [], [], 0.000
4:0, 551:1, 37, 19, [], [], 0.000
4:0, 98641:6, 37, 6, [], [], 0.000
4:0, 4:5, 38, 38, [], [], 0.000
4:0, 558:4, 38, 7, [], [], 0.000
4:0, 98373:7, 38, 6, [], [], 0.000
4:0, 4:5, 39, 39, [], [], 0.000
4:0, 962:1, 39, 23, [], [], 0.000
4:0, 99530:1, 39, 0, [], [], 0.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4294967295:4294967295, 4294967295, 4294967295, [], [], 340282346638528859811704183484516925440.000
4:0, 4:5, 41, 41, [], [], 0.000
4:0, 551:1, 41, 20, [], [], 0.000
4:0, 99281:3, 41, 8, [], [], 0.000
4:0, 4:5, 42, 42, [], [], 0.000
