TQ:Q, TS:S, qindex, sindex, q, s, d
7:0, 6072:0, 0, 5, [], [], 0.000
7:0, 37122:0, 0, 4, [], [], 0.000
7:0, 86631:0, 0, 5, [], [], 0.000
7:0, 158750:0, 0, 5, [], [], 0.000
7:0, 161391:0, 0, 5, [], [], 0.000
7:0, 170495:0, 0, 5, [], [], 0.000
7:0, 192036:0, 0, 5, [], [], 0.000
7:0, 217850:0, 0, 5, [], [], 0.000
7:0, 227922:0, 0, 5, [], [], 0.000
7:0, 283570:0, 0, 5, [], [], 0.000
7:0, 6072:0, 1, 5, [], [], 0.000
7:0, 37122:0, 1, 4, [], [], 0.000
7:0, 86631:0, 1, 5, [], [], 0.000
7:0, 158750:0, 1, 5, [], [], 0.000
7:0, 161391:0, 1, 5, [], [], 0.000
7:0, 170495:0, 1, 5, [], [], 0.000
7:0, 192036:0, 1, 5, [], [], 0.000
7:0, 217850:0, 1, 5, [], [], 0.000
7:0, 227922:0, 1, 5, [], [], 0.000
7:0, 283570:0, 1, 5, [], [], 0.000
7:0, 6072:0, 2, 5, [], [], 0.000
7:0, 37122:0, 2, 4, [], [], 0.000
7:0, 86631:0, 2, 5, [], [], 0.000
7:0, 158750:0, 2, 5, [], [], 0.000
7:0, 161391:0, 2, 5, [], [], 0.000
7:0, 170495:0, 2, 5, [], [], 0.000
7:0, 192036:0, 2, 5, [], [], 0.000
7:0, 217850:0, 2, 5, [], [], 0.000
7:0, 227922:0, 2, 5, [], [], 0.000
7:0, 283570:0, 2, 5, [], [], 0.000
7:0, 6072:0, 3, 5, [], [], 0.000
7:0, 37122:0, 3, 4, [], [], 0.000
7:0, 86631:0, 3, 5, [], [], 0.000
7:0, 158750:0, 3, 5, [], [], 0.000
7:0, 161391:0, 3, 5, [], [], 0.000
7:0, 170495:0, 3, 5, [], [], 0.000
7:0, 192036:0, 3, 5, [], [], 0.000
7:0, 217850:0, 3, 5, [], [], 0.000
7:0, 227922:0, 3, 5, [], [], 0.000
7:0, 283570:0, 3, 5, [], [], 0.000
7:0, 6072:0, 4, 5, [], [], 0.000
7:0, 37122:0, 4, 4, [], [], 0.000
7:0, 86631:0, 4, 5, [], [], 0.000
7:0, 158750:0, 4, 5, [], [], 0.000
7:0, 161391:0, 4, 5, [], [], 0.000
7:0, 170495:0, 4, 5, [], [], 0.000
7:0, 192036:0, 4, 5, [], [], 0.000
7:0, 217850:0, 4, 5, [], [], 0.000
7:0, 227922:0, 4, 5, [], [], 0.000
7:0, 283570:0, 4, 5, [], [], 0.000
7:0, 6072:0, 5, 5, [], [], 0.000
7:0, 37122:0, 5, 4, [], [], 0.000
7:0, 86631:0, 5, 5, [], [], 0.000
7:0, 158750:0, 5, 5, [], [], 0.000
7:0, 161391:0, 5, 5, [], [], 0.000
7:0, 170495:0, 5, 5, [], [], 0.000
7:0, 192036:0, 5, 5, [], [], 0.000
7:0, 217850:0, 5, 5, [], [], 0.000
7:0, 227922:0, 5, 5, [], [], 0.000
7:0, 283570:0, 5, 5, [], [], 0.000
