TQ:Q, TS:S, qindex, sindex, q, s, d
77649:0, 23:0, 0, 2, [], [], 0.587
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
77649:0, 11:0, 0, 9, [], [], 0.667
