TQ:Q, TS:S, qindex, sindex, q, s, d
77628:1, 77616:0, 0, 2179779744, [], [], 1.193
77628:1, 77621:0, 3161062301, 2179779744, [], [], 1.261
77628:1, 77621:0, 3191042271, 2179779744, [], [], 1.261
77628:1, 77621:0, 1053542287, 2179779744, [], [], 1.261
77628:1, 77621:0, 3185319594, 2179779744, [], [], 1.261
77628:1, 77621:0, 1043127869, 2179779744, [], [], 1.261
77628:1, 77621:0, 1034651481, 2179779744, [], [], 1.261
77628:1, 77621:0, 1032321914, 2179779744, [], [], 1.261
77628:1, 77621:0, 1041157370, 2179779744, [], [], 1.261
77628:1, 77621:0, 3187983859, 2179779744, [], [], 1.261
77628:1, 77616:0, 3185265532, 2179779744, [], [], 1.193
77628:1, 77621:0, 3181746008, 2179779744, [], [], 1.261
77628:1, 77621:0, 3168376324, 2179779744, [], [], 1.261
77628:1, 77621:0, 3188657663, 2179779744, [], [], 1.261
77628:1, 77621:0, 3192865921, 2179779744, [], [], 1.261
77628:1, 77621:0, 1040576003, 2179779744, [], [], 1.261
77628:1, 77621:0, 1017018880, 2179779744, [], [], 1.261
77628:1, 77621:0, 1033803875, 2179779744, [], [], 1.261
77628:1, 77621:0, 1029020380, 2179779744, [], [], 1.261
77628:1, 77621:0, 3196866020, 2179779744, [], [], 1.261
