TQ:Q, TS:S, q_pos, s_pos, q, s, d
4:0, 4:5, 0, 0, [], [], 0.000
4:0, 417:2, 0, 1, [], [], 0.000
4:0, 99848:6, 0, 1, [], [], 0.000
4:0, 4:5, 1, 1, [], [], 0.000
4:0, 417:2, 1, 2, [], [], 0.000
4:0, 99848:8, 1, 0, [], [], 0.000
4:0, 4:5, 2, 2, [], [], 0.000
4:0, 417:2, 2, 3, [], [], 0.000
4:0, 99848:3, 2, 2, [], [], 0.000
4:0, 4:5, 3, 3, [], [], 0.000
4:0, 417:2, 3, 4, [], [], 0.000
4:0, 99848:6, 3, 1, [], [], 0.000
4:0, 4:5, 4, 4, [], [], 0.000
4:0, 417:2, 4, 5, [], [], 0.000
4:0, 99848:8, 4, 1, [], [], 0.000
4:0, 4:5, 5, 5, [], [], 0.000
4:0, 417:2, 5, 6, [], [], 0.000
4:0, 99848:5, 5, 2, [], [], 0.000
4:0, 4:5, 6, 6, [], [], 0.000
4:0, 417:2, 6, 7, [], [], 0.000
4:0, 99848:4, 6, 0, [], [], 0.000
4:0, 4:5, 7, 7, [], [], 0.000
4:0, 417:2, 7, 8, [], [], 0.000
4:0, 99848:6, 7, 1, [], [], 0.000
4:0, 4:5, 8, 8, [], [], 0.000
4:0, 551:3, 8, 1, [], [], 0.000
4:0, 99848:3, 8, 2, [], [], 0.000
4:0, 4:5, 9, 9, [], [], 0.000
4:0, 417:2, 9, 10, [], [], 0.000
4:0, 99846:2, 9, 4, [], [], 0.000
4:0, 4:5, 10, 10, [], [], 0.000
4:0, 198:2, 10, 0, [], [], 0.000
4:0, 99848:8, 10, 2, [], [], 0.000
4:0, 4:5, 11, 11, [], [], 0.000
4:0, 126:10, 11, 0, [], [], 0.000
4:0, 99848:5, 11, 2, [], [], 0.000
4:0, 4:5, 12, 12, [], [], 0.000
4:0, 126:10, 12, 1, [], [], 0.000
4:0, 99848:8, 12, 0, [], [], 0.000
4:0, 4:5, 13, 13, [], [], 0.000
4:0, 126:10, 13, 2, [], [], 0.000
4:0, 99848:4, 13, 0, [], [], 0.000
4:0, 4:5, 14, 14, [], [], 0.000
4:0, 126:10, 14, 3, [], [], 0.000
4:0, 99848:4, 14, 0, [], [], 0.000
4:0, 4:5, 15, 15, [], [], 0.000
4:0, 126:10, 15, 5, [], [], 0.000
4:0, 99848:8, 15, 1, [], [], 0.000
4:0, 4:5, 16, 16, [], [], 0.000
4:0, 198:1, 16, 0, [], [], 0.000
4:0, 99848:3, 16, 2, [], [], 0.000
4:0, 4:5, 17, 17, [], [], 0.000
4:0, 126:9, 17, 0, [], [], 0.000
4:0, 99848:6, 17, 1, [], [], 0.000
4:0, 4:5, 18, 18, [], [], 0.000
4:0, 126:9, 18, 2, [], [], 0.000
4:0, 99848:8, 18, 0, [], [], 0.000
4:0, 4:5, 19, 19, [], [], 0.000
4:0, 126:9, 19, 5, [], [], 0.000
4:0, 99848:4, 19, 0, [], [], 0.000
4:0, 4:5, 20, 20, [], [], 0.000
4:0, 126:11, 20, 4, [], [], 0.000
4:0, 99848:5, 20, 2, [], [], 0.000
4:0, 4:5, 21, 21, [], [], 0.000
4:0, 126:9, 21, 9, [], [], 0.000
4:0, 99847:1, 21, 2, [], [], 0.000
4:0, 4:5, 22, 22, [], [], 0.000
4:0, 126:11, 22, 7, [], [], 0.000
4:0, 99848:1, 22, 2, [], [], 0.000
4:0, 4:5, 23, 23, [], [], 0.000
4:0, 126:9, 23, 10, [], [], 0.000
4:0, 99848:3, 23, 2, [], [], 0.000
4:0, 4:5, 24, 24, [], [], 0.000
4:0, 126:11, 24, 9, [], [], 0.000
4:0, 99848:5, 24, 2, [], [], 0.000
4:0, 4:5, 25, 25, [], [], 0.000
4:0, 126:11, 25, 10, [], [], 0.000
4:0, 99848:6, 25, 1, [], [], 0.000
4:0, 4:5, 26, 26, [], [], 0.000
4:0, 962:1, 26, 15, [], [], 0.000
4:0, 99848:6, 26, 1, [], [], 0.000
4:0, 4:5, 27, 27, [], [], 0.000
4:0, 551:1, 27, 17, [], [], 0.000
4:0, 99848:4, 27, 0, [], [], 0.000
4:0, 4:5, 28, 28, [], [], 0.000
4:0, 239:2, 28, 0, [], [], 0.000
4:0, 99848:3, 28, 2, [], [], 0.000
4:0, 4:5, 29, 29, [], [], 0.000
4:0, 551:2, 29, 13, [], [], 0.000
4:0, 99848:8, 29, 0, [], [], 0.000
4:0, 4:5, 30, 30, [], [], 0.000
4:0, 469:1, 30, 30, [], [], 0.000
4:0, 99848:8, 30, 0, [], [], 0.000
4:0, 4:5, 31, 31, [], [], 0.000
4:0, 397:2, 31, 3, [], [], 0.000
4:0, 99848:8, 31, 2, [], [], 0.000
4:0, 4:5, 32, 32, [], [], 0.000
4:0, 558:4, 32, 6, [], [], 0.000
4:0, 99848:6, 32, 1, [], [], 0.000
4:0, 4:5, 33, 33, [], [], 0.000
4:0, 551:2, 33, 15, [], [], 0.000
4:0, 99848:8, 33, 0, [], [], 0.000
4:0, 4:5, 34, 34, [], [], 0.000
4:0, 551:1, 34, 18, [], [], 0.000
4:0, 99848:8, 34, 0, [], [], 0.000
4:0, 4:5, 35, 35, [], [], 0.000
4:0, 551:1, 35, 19, [], [], 0.000
4:0, 99848:8, 35, 0, [], [], 0.000
4:0, 4:5, 36, 36, [], [], 0.000
4:0, 558:4, 36, 7, [], [], 0.000
4:0, 99848:6, 36, 1, [], [], 0.000
4:0, 4:5, 37, 37, [], [], 0.000
4:0, 962:1, 37, 23, [], [], 0.000
4:0, 99848:4, 37, 0, [], [], 0.000
4:0, 4:5, 38, 38, [], [], 0.000
4:0, 551:1, 38, 20, [], [], 0.000
4:0, 99847:1, 38, 2, [], [], 0.000
4:0, 4:5, 39, 39, [], [], 0.000
4:0, 551:2, 39, 17, [], [], 0.000
4:0, 99848:8, 39, 0, [], [], 0.000
4:0, 4:5, 40, 40, [], [], 0.000
4:0, 1433:2, 40, 13, [], [], 0.000
4:0, 99848:4, 40, 0, [], [], 0.000
4:0, 4:5, 41, 41, [], [], 0.000
4:0, 1895:9, 41, 3, [], [], 0.000
4:0, 99848:8, 41, 0, [], [], 0.000
4:0, 4:5, 42, 42, [], [], 0.000
4:0, 469:1, 42, 34, [], [], 0.000
4:0, 99848:8, 42, 2, [], [], 0.000
4:0, 4:5, 43, 43, [], [], 0.000
4:0, 551:2, 43, 19, [], [], 0.000
4:0, 99848:6, 43, 1, [], [], 0.000
4:0, 4:5, 44, 44, [], [], 0.000
4:0, 1572:3, 44, 2, [], [], 0.000
4:0, 99848:3, 44, 2, [], [], 0.000
4:0, 4:5, 45, 45, [], [], 0.000
4:0, 1128:7, 45, 0, [], [], 0.000
4:0, 99848:5, 45, 2, [], [], 0.000
4:0, 4:5, 46, 46, [], [], 0.000
4:0, 1128:2, 46, 1, [], [], 0.000
4:0, 99848:8, 46, 0, [], [], 0.000
4:0, 4:5, 47, 47, [], [], 0.000
4:0, 1128:2, 47, 3, [], [], 0.000
4:0, 99848:6, 47, 1, [], [], 0.000
4:0, 4:5, 48, 48, [], [], 0.000
4:0, 1128:2, 48, 4, [], [], 0.000
4:0, 99848:3, 48, 2, [], [], 0.000
4:0, 4:5, 49, 49, [], [], 0.000
4:0, 1128:2, 49, 6, [], [], 0.000
4:0, 99848:8, 49, 0, [], [], 0.000
4:0, 4:5, 50, 50, [], [], 0.000
4:0, 551:1, 50, 21, [], [], 0.000
4:0, 99848:8, 50, 0, [], [], 0.000
4:0, 4:5, 51, 51, [], [], 0.000
4:0, 1128:2, 51, 9, [], [], 0.000
4:0, 99848:4, 51, 0, [], [], 0.000
4:0, 4:5, 52, 52, [], [], 0.000
4:0, 1128:2, 52, 10, [], [], 0.000
4:0, 99848:6, 52, 1, [], [], 0.000
4:0, 4:5, 53, 53, [], [], 0.000
4:0, 1128:2, 53, 11, [], [], 0.000
4:0, 99848:8, 53, 0, [], [], 0.000
4:0, 4:5, 54, 54, [], [], 0.000
4:0, 99:13, 54, 2, [], [], 0.000
4:0, 99846:2, 54, 4, [], [], 0.000
