TQ:Q, TS:S, q_pos, s_pos, q, s, d
31:0, 2:0, 0, 0, [], [], 0.000
31:0, 4:2, 0, 0, [], [], 0.000
31:0, 7:2, 0, 1, [], [], 0.000
31:0, 10:0, 0, 0, [], [], 0.000
31:0, 10:1, 0, 0, [], [], 0.000
31:0, 12:3, 0, 0, [], [], 0.000
31:0, 15:1, 0, 2, [], [], 0.000
31:0, 15:2, 0, 2, [], [], 0.000
31:0, 20:0, 0, 0, [], [], 0.000
31:0, 22:9, 0, 0, [], [], 0.000
31:0, 23:1, 0, 1, [], [], 0.000
31:0, 31:1, 0, 0, [], [], 0.000
31:0, 32:2, 0, 0, [], [], 0.000
31:0, 33:0, 0, 0, [], [], 0.000
31:0, 36:0, 0, 0, [], [], 0.000
31:0, 36:3, 0, 0, [], [], 0.000
31:0, 36:4, 0, 0, [], [], 0.000
31:0, 37:3, 0, 0, [], [], 0.000
31:0, 38:0, 0, 0, [], [], 0.000
31:0, 40:3, 0, 0, [], [], 0.000
31:0, 41:0, 0, 0, [], [], 0.000
31:0, 42:1, 0, 1, [], [], 0.000
31:0, 42:5, 0, 1, [], [], 0.000
31:0, 42:7, 0, 1, [], [], 0.000
31:0, 42:8, 0, 1, [], [], 0.000
31:0, 43:2, 0, 0, [], [], 0.000
31:0, 57:0, 0, 0, [], [], 0.000
31:0, 57:4, 0, 0, [], [], 0.000
31:0, 57:5, 0, 1, [], [], 0.000
31:0, 99848:8, 0, 1, [], [], 0.000
31:0, 2:0, 1, 1, [], [], 0.000
31:0, 4:2, 1, 1, [], [], 0.000
31:0, 12:5, 1, 0, [], [], 0.000
31:0, 20:0, 1, 1, [], [], 0.000
31:0, 22:9, 1, 1, [], [], 0.000
31:0, 31:1, 1, 1, [], [], 0.000
31:0, 36:0, 1, 1, [], [], 0.000
31:0, 36:3, 1, 1, [], [], 0.000
31:0, 36:4, 1, 1, [], [], 0.000
31:0, 37:5, 1, 0, [], [], 0.000
31:0, 38:3, 1, 0, [], [], 0.000
31:0, 40:5, 1, 0, [], [], 0.000
31:0, 41:2, 1, 0, [], [], 0.000
31:0, 43:4, 1, 0, [], [], 0.000
