TQ:Q, TS:S, qindex, sindex, q, s, d
31:0, 2:0, 0, 0, [], [], 0.000
31:0, 2:0, 0, 2, [], [], 0.048
31:0, 2:0, 0, 2, [], [], 0.063
31:0, 2:0, 0, 2, [], [], 0.064
31:0, 2:0, 0, 2, [], [], 0.081
31:0, 2:0, 0, 2, [], [], 0.083
31:0, 2:0, 0, 2, [], [], 0.105
31:0, 2:0, 0, 2, [], [], 0.110
31:0, 2:0, 0, 2, [], [], 0.125
31:0, 2:0, 0, 2, [], [], 0.127
31:0, 2:0, 0, 2, [], [], 0.129
31:0, 2:0, 0, 2, [], [], 0.136
31:0, 2:0, 0, 2, [], [], 0.140
31:0, 2:0, 0, 2, [], [], 0.144
31:0, 2:0, 0, 2, [], [], 0.149
31:0, 2:0, 0, 2, [], [], 0.154
31:0, 2:0, 0, 2, [], [], 0.154
31:0, 2:0, 0, 8, [], [], 0.154
31:0, 2:0, 0, 9, [], [], 0.162
31:0, 2:0, 0, 9, [], [], 0.163
31:0, 2:0, 0, 9, [], [], 0.164
31:0, 2:0, 0, 9, [], [], 0.169
31:0, 2:0, 0, 9, [], [], 0.169
31:0, 2:0, 0, 9, [], [], 0.170
31:0, 2:4, 0, 6, [], [], 0.172
31:0, 2:4, 0, 6, [], [], 0.174
31:0, 2:4, 0, 6, [], [], 0.176
31:0, 2:4, 0, 6, [], [], 0.180
31:0, 2:4, 0, 6, [], [], 0.183
31:0, 2:4, 0, 6, [], [], 0.188
31:0, 2:4, 0, 6, [], [], 0.201
31:0, 2:4, 0, 6, [], [], 0.203
31:0, 2:4, 0, 6, [], [], 0.207
31:0, 2:4, 0, 6, [], [], 0.208
31:0, 2:4, 0, 6, [], [], 0.209
31:0, 2:4, 0, 6, [], [], 0.211
31:0, 2:4, 0, 6, [], [], 0.213
31:0, 2:4, 0, 6, [], [], 0.213
31:0, 2:4, 0, 6, [], [], 0.217
31:0, 2:4, 0, 6, [], [], 0.218
31:0, 2:4, 0, 6, [], [], 0.218
31:0, 2:4, 0, 6, [], [], 0.219
31:0, 2:4, 0, 6, [], [], 0.219
31:0, 2:4, 0, 6, [], [], 0.219
31:0, 2:4, 0, 6, [], [], 0.221
31:0, 2:4, 0, 6, [], [], 0.222
31:0, 2:4, 0, 6, [], [], 0.223
31:0, 2:4, 0, 6, [], [], 0.225
31:0, 2:4, 0, 6, [], [], 0.225
31:0, 2:4, 0, 6, [], [], 0.227
31:0, 1:1, 1, 1, [], [], 0.000
31:0, 1:1, 1, 1, [], [], 0.026
31:0, 1:1, 1, 1, [], [], 0.028
31:0, 1:1, 1, 1, [], [], 0.029
31:0, 1:1, 1, 1, [], [], 0.036
31:0, 1:1, 1, 1, [], [], 0.044
31:0, 1:1, 1, 1, [], [], 0.045
31:0, 1:1, 1, 1, [], [], 0.045
31:0, 1:1, 1, 1, [], [], 0.047
31:0, 1:1, 1, 1, [], [], 0.050
31:0, 1:1, 1, 1, [], [], 0.065
31:0, 1:1, 1, 1, [], [], 0.072
31:0, 1:1, 1, 1, [], [], 0.072
31:0, 1:1, 1, 1, [], [], 0.074
31:0, 1:1, 1, 1, [], [], 0.075
31:0, 1:1, 1, 1, [], [], 0.079
31:0, 1:1, 1, 1, [], [], 0.079
31:0, 1:1, 1, 1, [], [], 0.084
31:0, 1:1, 1, 1, [], [], 0.093
31:0, 1:1, 1, 1, [], [], 0.093
31:0, 1:1, 1, 1, [], [], 0.095
31:0, 1:1, 1, 1, [], [], 0.096
31:0, 1:1, 1, 1, [], [], 0.097
31:0, 1:1, 1, 1, [], [], 0.106
31:0, 1:1, 1, 1, [], [], 0.106
31:0, 1:1, 1, 1, [], [], 0.107
31:0, 1:1, 1, 1, [], [], 0.108
31:0, 1:1, 1, 1, [], [], 0.111
31:0, 1:1, 1, 1, [], [], 0.114
31:0, 1:1, 1, 1, [], [], 0.115
31:0, 1:1, 1, 1, [], [], 0.115
31:0, 1:1, 1, 1, [], [], 0.115
31:0, 1:1, 1, 1, [], [], 0.116
31:0, 1:1, 1, 1, [], [], 0.117
31:0, 1:1, 1, 1, [], [], 0.122
31:0, 1:1, 1, 1, [], [], 0.124
31:0, 1:1, 1, 1, [], [], 0.124
31:0, 1:1, 1, 1, [], [], 0.126
31:0, 1:1, 1, 1, [], [], 0.127
31:0, 1:1, 1, 1, [], [], 0.135
31:0, 1:1, 1, 1, [], [], 0.135
31:0, 1:1, 1, 1, [], [], 0.137
31:0, 1:1, 1, 1, [], [], 0.138
31:0, 1:1, 1, 1, [], [], 0.141
31:0, 1:1, 1, 1, [], [], 0.142
31:0, 1:1, 1, 1, [], [], 0.142
31:0, 1:1, 1, 1, [], [], 0.146
31:0, 1:1, 1, 1, [], [], 0.147
31:0, 1:1, 1, 1, [], [], 0.148
31:0, 1:1, 1, 1, [], [], 0.150
31:0, 1:1, 2, 0, [], [], 0.000
31:0, 1:1, 2, 0, [], [], 0.241
31:0, 1:1, 2, 0, [], [], 0.251
31:0, 1:1, 2, 0, [], [], 0.279
31:0, 1:1, 2, 0, [], [], 0.307
31:0, 1:1, 2, 0, [], [], 0.308
31:0, 1:1, 2, 0, [], [], 0.310
31:0, 1:1, 2, 0, [], [], 0.310
31:0, 1:1, 2, 0, [], [], 0.323
31:0, 1:1, 2, 0, [], [], 0.329
31:0, 1:1, 2, 0, [], [], 0.334
31:0, 1:1, 2, 0, [], [], 0.335
