TQ:Q, TS:S, qindex, sindex, q, s, d
77649:0, 2:0, 0, 15, [], [], 0.000
77649:0, 2:0, 0, 15, [], [], 0.409
77649:0, 2:0, 0, 15, [], [], 0.410
77649:0, 2:0, 0, 15, [], [], 0.428
77649:0, 2:0, 0, 15, [], [], 0.432
77649:0, 2:0, 0, 15, [], [], 0.439
77649:0, 2:0, 0, 15, [], [], 0.444
77649:0, 2:0, 0, 15, [], [], 0.449
77649:0, 2:0, 0, 15, [], [], 0.452
77649:0, 2:0, 0, 15, [], [], 0.452
77649:0, 2:0, 0, 15, [], [], 0.453
77649:0, 2:0, 0, 15, [], [], 0.456
77649:0, 2:0, 0, 15, [], [], 0.459
77649:0, 2:0, 0, 15, [], [], 0.460
77649:0, 2:0, 0, 15, [], [], 0.464
77649:0, 2:0, 0, 15, [], [], 0.464
77649:0, 2:0, 0, 15, [], [], 0.467
77649:0, 2:0, 0, 15, [], [], 0.467
77649:0, 2:0, 0, 15, [], [], 0.469
77649:0, 2:0, 0, 15, [], [], 0.470
77649:0, 2:0, 0, 15, [], [], 0.471
77649:0, 2:0, 0, 15, [], [], 0.474
77649:0, 2:0, 0, 15, [], [], 0.475
77649:0, 2:0, 0, 15, [], [], 0.476
77649:0, 2:0, 0, 15, [], [], 0.476
77649:0, 2:0, 0, 15, [], [], 0.476
77649:0, 2:0, 0, 15, [], [], 0.480
77649:0, 2:0, 0, 15, [], [], 0.481
77649:0, 2:0, 0, 15, [], [], 0.481
77649:0, 2:0, 0, 15, [], [], 0.483
77649:0, 2:0, 0, 15, [], [], 0.483
77649:0, 2:0, 0, 15, [], [], 0.485
77649:0, 2:0, 0, 15, [], [], 0.486
77649:0, 2:0, 0, 15, [], [], 0.486
77649:0, 2:0, 0, 15, [], [], 0.487
77649:0, 2:0, 0, 15, [], [], 0.487
77649:0, 2:0, 0, 15, [], [], 0.487
77649:0, 2:0, 0, 15, [], [], 0.488
77649:0, 2:0, 0, 15, [], [], 0.489
77649:0, 2:0, 0, 15, [], [], 0.490
77649:0, 2:0, 0, 15, [], [], 0.490
77649:0, 2:0, 0, 15, [], [], 0.490
77649:0, 2:0, 0, 15, [], [], 0.491
77649:0, 2:0, 0, 15, [], [], 0.491
77649:0, 2:0, 0, 15, [], [], 0.492
77649:0, 2:0, 0, 15, [], [], 0.492
77649:0, 2:0, 0, 15, [], [], 0.492
77649:0, 2:0, 0, 15, [], [], 0.493
77649:0, 2:0, 0, 15, [], [], 0.494
77649:0, 2:0, 0, 15, [], [], 0.494
77649:0, 2:0, 0, 15, [], [], 0.495
77649:0, 2:0, 0, 15, [], [], 0.495
77649:0, 2:0, 0, 15, [], [], 0.496
77649:0, 2:0, 0, 15, [], [], 0.496
77649:0, 2:0, 0, 15, [], [], 0.496
77649:0, 2:0, 0, 15, [], [], 0.497
77649:0, 2:0, 0, 15, [], [], 0.497
77649:0, 2:0, 0, 15, [], [], 0.497
77649:0, 2:0, 0, 15, [], [], 0.498
77649:0, 2:0, 0, 15, [], [], 0.498
77649:0, 2:0, 0, 15, [], [], 0.499
77649:0, 2:0, 0, 15, [], [], 0.499
77649:0, 2:0, 0, 15, [], [], 0.499
77649:0, 2:0, 0, 15, [], [], 0.500
77649:0, 2:0, 0, 15, [], [], 0.500
77649:0, 2:0, 0, 15, [], [], 0.500
77649:0, 2:0, 0, 15, [], [], 0.500
77649:0, 2:0, 0, 15, [], [], 0.501
77649:0, 2:0, 0, 15, [], [], 0.501
77649:0, 2:0, 0, 15, [], [], 0.501
77649:0, 2:0, 0, 15, [], [], 0.501
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.502
77649:0, 2:0, 0, 15, [], [], 0.503
77649:0, 2:0, 0, 15, [], [], 0.504
77649:0, 2:0, 0, 15, [], [], 0.504
77649:0, 2:0, 0, 15, [], [], 0.504
77649:0, 2:0, 0, 15, [], [], 0.505
77649:0, 2:0, 0, 15, [], [], 0.505
77649:0, 2:0, 0, 15, [], [], 0.505
77649:0, 2:0, 0, 15, [], [], 0.505
77649:0, 2:0, 0, 15, [], [], 0.505
77649:0, 2:0, 0, 15, [], [], 0.506
77649:0, 2:0, 0, 15, [], [], 0.506
77649:0, 2:0, 0, 15, [], [], 0.506
77649:0, 2:0, 0, 15, [], [], 0.506
77649:0, 2:0, 0, 15, [], [], 0.507
77649:0, 2:0, 0, 15, [], [], 0.507
77649:0, 2:0, 0, 15, [], [], 0.507
77649:0, 2:0, 0, 15, [], [], 0.508
77649:0, 2:0, 0, 15, [], [], 0.508
77649:0, 2:0, 0, 15, [], [], 0.508
77649:0, 2:0, 0, 15, [], [], 0.508
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.509
77649:0, 2:0, 0, 15, [], [], 0.510
77649:0, 2:0, 0, 15, [], [], 0.510
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.511
77649:0, 2:0, 0, 15, [], [], 0.512
77649:0, 2:0, 0, 15, [], [], 0.512
77649:0, 2:0, 0, 15, [], [], 0.512
77649:0, 2:0, 0, 15, [], [], 0.512
77649:0, 2:0, 0, 15, [], [], 0.513
77649:0, 2:0, 0, 15, [], [], 0.514
77649:0, 2:0, 0, 15, [], [], 0.514
77649:0, 2:0, 0, 15, [], [], 0.514
77649:0, 2:0, 0, 15, [], [], 0.514
77649:0, 2:0, 0, 15, [], [], 0.515
77649:0, 2:0, 0, 15, [], [], 0.515
77649:0, 2:0, 0, 15, [], [], 0.515
77649:0, 2:0, 0, 15, [], [], 0.515
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.516
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
77649:0, 2:0, 0, 15, [], [], 0.517
