TQ:Q, TS:S, q_pos, s_pos, q, s, d
77631:0, 14:0, 0, 1, [], [], 0.000
77631:0, 34:0, 0, 1, [], [], 0.000
77631:0, 66:4, 0, 10, [], [], 0.000
77631:0, 126:1, 0, 0, [], [], 0.000
77631:0, 146:9, 0, 0, [], [], 0.000
77631:0, 166:5, 0, 2, [], [], 0.000
77631:0, 191:0, 0, 1, [], [], 0.000
77631:0, 89:37, 0, 1, [], [], 0.153
77631:0, 57:7, 0, 14, [], [], 0.194
77631:0, 142:2, 0, 3, [], [], 0.194
77631:0, 12:1, 1, 4, [], [], 0.000
77631:0, 14:0, 1, 2, [], [], 0.000
77631:0, 34:0, 1, 2, [], [], 0.000
77631:0, 37:1, 1, 4, [], [], 0.000
77631:0, 85:1, 1, 4, [], [], 0.000
77631:0, 115:1, 1, 4, [], [], 0.000
77631:0, 126:1, 1, 1, [], [], 0.000
77631:0, 149:1, 1, 4, [], [], 0.000
77631:0, 166:4, 1, 2, [], [], 0.000
77631:0, 200:3, 1, 5, [], [], 0.000
77631:0, 126:1, 2, 3, [], [], 0.323
77631:0, 31:0, 2, 561, [], [], 0.349
77631:0, 123:1, 2, 4, [], [], 0.407
77631:0, 200:1, 2, 4, [], [], 0.407
77631:0, 108:2, 2, 0, [], [], 0.415
77631:0, 196:1, 2, 0, [], [], 0.422
77631:0, 31:0, 2, 594, [], [], 0.424
77631:0, 95:0, 2, 0, [], [], 0.428
77631:0, 31:0, 2, 727, [], [], 0.436
77631:0, 15:0, 2, 6, [], [], 0.449
77631:0, 12:0, 3, 4, [], [], 0.000
77631:0, 12:6, 3, 4, [], [], 0.000
77631:0, 14:0, 3, 3, [], [], 0.000
77631:0, 34:0, 3, 3, [], [], 0.000
77631:0, 37:0, 3, 4, [], [], 0.000
77631:0, 37:6, 3, 4, [], [], 0.000
77631:0, 85:0, 3, 4, [], [], 0.000
77631:0, 85:6, 3, 4, [], [], 0.000
77631:0, 115:0, 3, 4, [], [], 0.000
77631:0, 198:3, 3, 9, [], [], 0.000
77631:0, 14:0, 4, 4, [], [], 0.000
77631:0, 34:0, 4, 4, [], [], 0.000
77631:0, 126:1, 4, 4, [], [], 0.000
77631:0, 166:6, 4, 2, [], [], 0.000
77631:0, 191:0, 4, 4, [], [], 0.000
77631:0, 34:0, 4, 6, [], [], 0.265
77631:0, 126:1, 4, 6, [], [], 0.265
77631:0, 166:7, 4, 2, [], [], 0.265
77631:0, 191:0, 4, 6, [], [], 0.265
77631:0, 81:2, 4, 0, [], [], 0.293
77631:0, 14:0, 5, 5, [], [], 0.000
77631:0, 34:0, 5, 5, [], [], 0.000
77631:0, 126:1, 5, 5, [], [], 0.000
77631:0, 166:2, 5, 2, [], [], 0.000
77631:0, 191:0, 5, 5, [], [], 0.000
77631:0, 57:12, 5, 14, [], [], 0.275
77631:0, 131:9, 5, 5, [], [], 0.275
77631:0, 142:5, 5, 2, [], [], 0.275
77631:0, 14:0, 5, 6, [], [], 0.300
77631:0, 166:1, 5, 2, [], [], 0.300
77631:0, 34:0, 6, 6, [], [], 0.000
77631:0, 126:1, 6, 6, [], [], 0.000
77631:0, 166:7, 6, 2, [], [], 0.000
77631:0, 191:0, 6, 6, [], [], 0.000
77631:0, 166:8, 6, 2, [], [], 0.251
77631:0, 14:0, 6, 4, [], [], 0.265
77631:0, 34:0, 6, 4, [], [], 0.265
77631:0, 126:1, 6, 4, [], [], 0.265
77631:0, 166:6, 6, 2, [], [], 0.265
77631:0, 191:0, 6, 4, [], [], 0.265
77631:0, 14:0, 7, 6, [], [], 0.000
77631:0, 126:1, 7, 7, [], [], 0.000
77631:0, 166:1, 7, 2, [], [], 0.000
77631:0, 14:0, 7, 5, [], [], 0.300
77631:0, 34:0, 7, 5, [], [], 0.300
77631:0, 126:1, 7, 5, [], [], 0.300
77631:0, 166:2, 7, 2, [], [], 0.300
77631:0, 191:0, 7, 5, [], [], 0.300
77631:0, 57:12, 7, 14, [], [], 0.456
77631:0, 131:9, 7, 5, [], [], 0.456
77631:0, 166:8, 8, 2, [], [], 0.000
77631:0, 34:0, 8, 6, [], [], 0.251
77631:0, 126:1, 8, 6, [], [], 0.251
77631:0, 166:7, 8, 2, [], [], 0.251
77631:0, 191:0, 8, 6, [], [], 0.251
77631:0, 14:0, 8, 4, [], [], 0.493
77631:0, 34:0, 8, 4, [], [], 0.493
77631:0, 126:1, 8, 4, [], [], 0.493
77631:0, 166:6, 8, 2, [], [], 0.493
77631:0, 191:0, 8, 4, [], [], 0.493
