k,insert_time,sort_time,#th,sort
10,0.003391,0.018265,64,running-nns
10,-0.017656,0.036970,64,running-nns
10,-0.014704,0.052310,64,running-nns
10,-0.011548,0.069297,64,running-nns
10,-0.008222,0.085440,64,running-nns
10,-0.023180,0.096399,64,running-nns
10,-0.018934,0.118457,64,running-nns
10,-0.016182,0.153736,64,running-nns
10,-0.013046,0.168315,64,running-nns
10,-0.008879,0.185455,64,running-nns
50,0.007802,0.171851,64,running-nns
50,0.014698,0.327844,64,running-nns
50,0.021753,0.506212,64,running-nns
50,0.028445,0.671158,64,running-nns
50,0.035530,0.825688,64,running-nns
50,0.045848,1.071673,64,running-nns
50,0.055173,1.341620,64,running-nns
50,0.086557,1.505289,64,running-nns
50,0.093965,2.700051,64,running-nns
50,0.101921,2.876410,64,running-nns
100,0.011471,0.333248,64,running-nns
100,0.023156,0.637614,64,running-nns
100,-0.026028,0.963080,64,running-nns
100,-0.014543,1.271510,64,running-nns
100,-0.004047,3.571876,64,running-nns
100,-0.006507,3.978484,64,running-nns
100,0.005803,4.475066,64,running-nns
100,0.017368,4.826905,64,running-nns
100,0.026981,5.093456,64,running-nns
100,0.038642,5.494621,64,running-nns
500,0.037072,1.241887,64,running-nns
500,0.052165,3.639480,64,running-nns
500,0.086305,4.864573,64,running-nns
500,0.140869,6.143916,64,running-nns
500,0.180240,8.364428,64,running-nns
500,0.201802,9.380304,64,running-nns
500,0.238666,14.204064,64,running-nns
500,0.273432,15.631297,64,running-nns
500,0.255262,16.746303,64,running-nns
500,0.238037,18.298732,64,running-nns
1000,0.057981,2.586799,64,running-nns
1000,0.137151,5.968007,64,running-nns
1000,0.157405,7.902972,64,running-nns
1000,0.186624,12.201594,64,running-nns
1000,0.226904,13.424501,64,running-nns
1000,0.254633,16.163172,64,running-nns
1000,0.295770,19.623518,64,running-nns
1000,0.354338,22.198496,64,running-nns
1000,0.405355,23.827769,64,running-nns
1000,0.494129,26.321846,64,running-nns
5000,0.288176,25.040333,64,running-nns
5000,0.568702,47.045601,64,running-nns
5000,0.829078,69.941837,64,running-nns
5000,1.144117,90.587585,64,running-nns
5000,1.383196,113.048987,64,running-nns
5000,1.639000,128.821571,64,running-nns
5000,1.902369,165.384661,64,running-nns
5000,2.188569,193.576574,64,running-nns
5000,2.505367,216.092767,64,running-nns
5000,2.852312,239.184949,64,running-nns

