k,total_insert_time,total_sort_time,#th,Kashif-version
10,0.002675,0.008256,64,sort-running-nns
50,0.005960,0.068680,64,sort-running-nns
100,0.008384,0.146290,64,sort-running-nns
500,-0.022213,0.757555,64,sort-running-nns
1000,0.012587,1.878967,64,sort-running-nns
5000,0.055667,22.931272,64,sort-running-nns
10000,3.128911,131.388601,64,sort-running-nns
10,0.002851,0.008376,64,sort-all-nns
50,0.005444,0.061343,64,sort-all-nns
100,0.007126,0.164260,64,sort-all-nns
500,0.019898,0.797905,64,sort-all-nns
1000,0.006602,1.855446,64,sort-all-nns
5000,0.042185,22.389077,64,sort-all-nns
10000,0.192439,133.833698,64,sort-all-nns
