k,querytime,nb_threads,knn data structure
10,6.145205,64,kashif (sorted-array)
10,1.219392,64,kashif (sorted-array)
10,1.220465,64,kashif (sorted-array)
10,1.154016,64,kashif (sorted-array)
10,1.099938,64,kashif (sorted-array)
10,0.877230,64,kashif (sorted-array)
10,2.832078,64,kashif (sorted-array)
10,1.672672,64,kashif (sorted-array)
10,1.067882,64,kashif (sorted-array)
10,1.415874,64,kashif (sorted-array)
50,6.206293,64,kashif (sorted-array)
50,1.312936,64,kashif (sorted-array)
50,1.456137,64,kashif (sorted-array)
50,1.329775,64,kashif (sorted-array)
50,1.211024,64,kashif (sorted-array)
50,0.862827,64,kashif (sorted-array)
50,3.083410,64,kashif (sorted-array)
50,2.177862,64,kashif (sorted-array)
50,1.073717,64,kashif (sorted-array)
50,1.549466,64,kashif (sorted-array)
100,6.190920,64,kashif (sorted-array)
100,1.313670,64,kashif (sorted-array)
100,1.423355,64,kashif (sorted-array)
100,1.570425,64,kashif (sorted-array)
100,1.205908,64,kashif (sorted-array)
100,1.096412,64,kashif (sorted-array)
100,3.405372,64,kashif (sorted-array)
100,2.317753,64,kashif (sorted-array)
100,1.148252,64,kashif (sorted-array)
100,1.676744,64,kashif (sorted-array)
500,7.187470,64,kashif (sorted-array)
500,2.020925,64,kashif (sorted-array)
500,2.430135,64,kashif (sorted-array)
500,2.281175,64,kashif (sorted-array)
500,1.760321,64,kashif (sorted-array)
500,1.372224,64,kashif (sorted-array)
500,3.873685,64,kashif (sorted-array)
500,3.561545,64,kashif (sorted-array)
500,1.544669,64,kashif (sorted-array)
500,2.528792,64,kashif (sorted-array)
1000,10.513199,64,kashif (sorted-array)
1000,3.169705,64,kashif (sorted-array)
1000,3.809813,64,kashif (sorted-array)
1000,3.590023,64,kashif (sorted-array)
1000,3.086358,64,kashif (sorted-array)
1000,2.038604,64,kashif (sorted-array)
1000,6.012542,64,kashif (sorted-array)
1000,5.131989,64,kashif (sorted-array)
1000,2.372627,64,kashif (sorted-array)
1000,3.509665,64,kashif (sorted-array)
5000,49.258424,64,kashif (sorted-array)
5000,41.675169,64,kashif (sorted-array)
5000,39.761288,64,kashif (sorted-array)
5000,51.483400,64,kashif (sorted-array)
5000,41.968772,64,kashif (sorted-array)
5000,23.810655,64,kashif (sorted-array)
5000,64.443776,64,kashif (sorted-array)
5000,56.763512,64,kashif (sorted-array)
5000,34.970704,64,kashif (sorted-array)
5000,43.780736,64,kashif (sorted-array)
10000,190.827792,64,kashif (sorted-array)
10000,155.236048,64,kashif (sorted-array)
10000,201.990656,64,kashif (sorted-array)
10000,180.787200,64,kashif (sorted-array)
10000,180.951040,64,kashif (sorted-array)
10000,122.981728,64,kashif (sorted-array)
10000,317.937536,64,kashif (sorted-array)
10000,224.309002,64,kashif (sorted-array)
10000,173.064368,64,kashif (sorted-array)
10000,210.133792,64,kashif (sorted-array)
50000,7344.642560,64,kashif (sorted-array)
