k,querytime,nb_threads,knn data structure
10,6.486803,64,os-tree
10,1.780790,64,os-tree
10,2.349496,64,os-tree
10,1.960655,64,os-tree
10,1.893614,64,os-tree
10,1.468096,64,os-tree
10,4.276629,64,os-tree
10,2.976896,64,os-tree
10,1.681203,64,os-tree
10,2.294169,64,os-tree
50,7.986375,64,os-tree
50,2.562358,64,os-tree
50,2.662712,64,os-tree
50,2.678117,64,os-tree
50,3.044916,64,os-tree
50,2.581107,64,os-tree
50,8.256405,64,os-tree
50,4.638794,64,os-tree
50,3.098659,64,os-tree
50,2.924034,64,os-tree
100,8.798862,64,os-tree
100,3.084448,64,os-tree
100,3.109756,64,os-tree
100,3.919774,64,os-tree
100,3.233450,64,os-tree
100,2.536607,64,os-tree
100,7.637700,64,os-tree
100,5.034082,64,os-tree
100,2.994983,64,os-tree
100,4.090263,64,os-tree
500,8.976391,64,os-tree
500,4.780603,64,os-tree
500,6.217907,64,os-tree
500,5.641507,64,os-tree
500,4.177677,64,os-tree
500,4.220865,64,os-tree
500,10.014648,64,os-tree
500,7.831823,64,os-tree
500,3.753143,64,os-tree
500,5.956983,64,os-tree
1000,10.267957,64,os-tree
1000,6.288270,64,os-tree
1000,6.840737,64,os-tree
1000,6.508502,64,os-tree
1000,5.168977,64,os-tree
1000,4.383022,64,os-tree
1000,10.803274,64,os-tree
1000,8.857641,64,os-tree
1000,4.374465,64,os-tree
1000,7.058254,64,os-tree
5000,11.981672,64,os-tree
5000,10.646250,64,os-tree
5000,12.379225,64,os-tree
5000,11.276447,64,os-tree
5000,9.423099,64,os-tree
5000,9.128958,64,os-tree
5000,18.139962,64,os-tree
5000,15.644048,64,os-tree
5000,7.219316,64,os-tree
5000,12.499190,64,os-tree
10000,20.352076,64,os-tree
10000,15.701624,64,os-tree
10000,16.828246,64,os-tree
10000,17.054929,64,os-tree
10000,14.831126,64,os-tree
10000,12.366073,64,os-tree
10000,23.879441,64,os-tree
10000,20.653151,64,os-tree
10000,10.742637,64,os-tree
10000,16.983019,64,os-tree
50000,58.192740,64,os-tree
50000,51.464268,64,os-tree
50000,71.262108,64,os-tree
50000,56.321780,64,os-tree
50000,52.262912,64,os-tree
50000,48.665156,64,os-tree
50000,80.880352,64,os-tree
50000,67.226480,64,os-tree
50000,40.960526,64,os-tree
50000,67.028572,64,os-tree
10,6.145205,64,sorted-array
10,1.219392,64,sorted-array
10,1.220465,64,sorted-array
10,1.154016,64,sorted-array
10,1.099938,64,sorted-array
10,0.877230,64,sorted-array
10,2.832078,64,sorted-array
10,1.672672,64,sorted-array
10,1.067882,64,sorted-array
10,1.415874,64,sorted-array
50,6.206293,64,sorted-array
50,1.312936,64,sorted-array
50,1.456137,64,sorted-array
50,1.329775,64,sorted-array
50,1.211024,64,sorted-array
50,0.862827,64,sorted-array
50,3.083410,64,sorted-array
50,2.177862,64,sorted-array
50,1.073717,64,sorted-array
50,1.549466,64,sorted-array
100,6.190920,64,sorted-array
100,1.313670,64,sorted-array
100,1.423355,64,sorted-array
100,1.570425,64,sorted-array
100,1.205908,64,sorted-array
100,1.096412,64,sorted-array
100,3.405372,64,sorted-array
100,2.317753,64,sorted-array
100,1.148252,64,sorted-array
100,1.676744,64,sorted-array
500,7.187470,64,sorted-array
500,2.020925,64,sorted-array
500,2.430135,64,sorted-array
500,2.281175,64,sorted-array
500,1.760321,64,sorted-array
500,1.372224,64,sorted-array
500,3.873685,64,sorted-array
500,3.561545,64,sorted-array
500,1.544669,64,sorted-array
500,2.528792,64,sorted-array
1000,10.513199,64,sorted-array
1000,3.169705,64,sorted-array
1000,3.809813,64,sorted-array
1000,3.590023,64,sorted-array
1000,3.086358,64,sorted-array
1000,2.038604,64,sorted-array
1000,6.012542,64,sorted-array
1000,5.131989,64,sorted-array
1000,2.372627,64,sorted-array
1000,3.509665,64,sorted-array
5000,49.258424,64,sorted-array
5000,41.675169,64,sorted-array
5000,39.761288,64,sorted-array
5000,51.483400,64,sorted-array
5000,41.968772,64,sorted-array
5000,23.810655,64,sorted-array
5000,64.443776,64,sorted-array
5000,56.763512,64,sorted-array
5000,34.970704,64,sorted-array
5000,43.780736,64,sorted-array
10000,190.827792,64,sorted-array
10000,155.236048,64,sorted-array
10000,201.990656,64,sorted-array
10000,180.787200,64,sorted-array
10000,180.951040,64,sorted-array
10000,122.981728,64,sorted-array
10000,317.937536,64,sorted-array
10000,224.309002,64,sorted-array
10000,173.064368,64,sorted-array
10000,210.133792,64,sorted-array
50000,7344.642560,64,sorted-array
50000,7231.993088,64,sorted-array
50000,7368.876544,64,sorted-array
50000,7141.003264,64,sorted-array
50000,6743.180032,64,sorted-array
50000,5627.854336,64,sorted-array
50000,9187.414784,64,sorted-array
50000,7942.639104,64,sorted-array
50000,6010.310656,64,sorted-array
50000,7306.745088,64,sorted-array
