k,querytime,nb_threads,knn data structure
1,93.979825,64,kashif (sorted-arr)
5,101.837112,64,kashif (sorted-arr)
10,115.369180,64,kashif (sorted-arr)
50,135.688536,64,kashif (sorted-arr)
100,135.688552,64,kashif (sorted-arr)
500,156.871264,64,kashif (sorted-arr)
1000,157.583340,64,kashif (sorted-arr)
5000,193.265212,64,kashif (sorted-arr)
10000,193.437912,64,kashif (sorted-arr)
1,102.943883,64,kashif (sorted-arr)
5,140.310460,64,kashif (sorted-arr)
10,141.923348,64,kashif (sorted-arr)
50,142.693976,64,kashif (sorted-arr)
100,153.344272,64,kashif (sorted-arr)
500,156.324672,64,kashif (sorted-arr)
1000,162.311432,64,kashif (sorted-arr)
5000,163.903696,64,kashif (sorted-arr)
10000,175.748043,64,kashif (sorted-arr)
1,101.471183,64,kashif (sorted-arr)
5,101.471183,64,kashif (sorted-arr)
10,129.507884,64,kashif (sorted-arr)
50,132.749688,64,kashif (sorted-arr)
100,143.136104,64,kashif (sorted-arr)
500,153.352920,64,kashif (sorted-arr)
1000,153.549992,64,kashif (sorted-arr)
5000,194.096640,64,kashif (sorted-arr)
10000,194.096720,64,kashif (sorted-arr)
1,92.348107,64,kashif (sorted-arr)
5,98.774440,64,kashif (sorted-arr)
10,120.436672,64,kashif (sorted-arr)
50,144.847408,64,kashif (sorted-arr)
100,146.019172,64,kashif (sorted-arr)
500,156.741280,64,kashif (sorted-arr)
1000,179.646736,64,kashif (sorted-arr)
5000,189.816688,64,kashif (sorted-arr)
10000,190.293520,64,kashif (sorted-arr)
1,93.679857,64,kashif (sorted-arr)
5,103.951876,64,kashif (sorted-arr)
10,103.951876,64,kashif (sorted-arr)
50,112.200338,64,kashif (sorted-arr)
100,130.172388,64,kashif (sorted-arr)
500,131.389492,64,kashif (sorted-arr)
1000,131.827044,64,kashif (sorted-arr)
5000,163.922960,64,kashif (sorted-arr)
10000,178.343728,64,kashif (sorted-arr)
1,70.942271,64,kashif (sorted-arr)
5,75.828705,64,kashif (sorted-arr)
10,75.828709,64,kashif (sorted-arr)
50,75.828710,64,kashif (sorted-arr)
100,75.828710,64,kashif (sorted-arr)
500,105.280916,64,kashif (sorted-arr)
1000,106.543696,64,kashif (sorted-arr)
5000,114.978096,64,kashif (sorted-arr)
10000,121.589356,64,kashif (sorted-arr)
1,140.117048,64,kashif (sorted-arr)
5,168.245576,64,kashif (sorted-arr)
10,168.339192,64,kashif (sorted-arr)
50,201.496280,64,kashif (sorted-arr)
100,201.644464,64,kashif (sorted-arr)
500,226.432880,64,kashif (sorted-arr)
1000,242.173584,64,kashif (sorted-arr)
5000,292.021916,64,kashif (sorted-arr)
10000,292.022484,64,kashif (sorted-arr)
1,127.313633,64,kashif (sorted-arr)
5,134.005192,64,kashif (sorted-arr)
10,144.233528,64,kashif (sorted-arr)
50,174.085792,64,kashif (sorted-arr)
100,201.473584,64,kashif (sorted-arr)
500,202.139464,64,kashif (sorted-arr)
1000,221.312824,64,kashif (sorted-arr)
5000,244.351200,64,kashif (sorted-arr)
10000,244.351504,64,kashif (sorted-arr)
1,84.616207,64,kashif (sorted-arr)
5,115.459420,64,kashif (sorted-arr)
10,115.459420,64,kashif (sorted-arr)
50,123.425600,64,kashif (sorted-arr)
100,128.821296,64,kashif (sorted-arr)
500,129.144836,64,kashif (sorted-arr)
1000,129.313976,64,kashif (sorted-arr)
5000,147.243768,64,kashif (sorted-arr)
10000,149.167840,64,kashif (sorted-arr)
1,123.023991,64,kashif (sorted-arr)
5,128.233064,64,kashif (sorted-arr)
10,153.389832,64,kashif (sorted-arr)
50,161.266960,64,kashif (sorted-arr)
100,161.266960,64,kashif (sorted-arr)
500,193.584048,64,kashif (sorted-arr)
1000,193.584160,64,kashif (sorted-arr)
5000,218.479728,64,kashif (sorted-arr)
10000,218.741376,64,kashif (sorted-arr)
