TQ:Q, TS:S, qindex, sindex, q, s, d
0:0, 4:0, 0, 17, [], [], 0.624
0:0, 4:0, 0, 17, [], [], 0.665
0:0, 4:0, 0, 17, [], [], 0.669
0:0, 4:0, 0, 17, [], [], 0.670
0:0, 4:0, 0, 17, [], [], 0.684
0:0, 4:0, 0, 17, [], [], 0.689
0:0, 4:0, 0, 17, [], [], 0.690
0:0, 4:0, 0, 17, [], [], 0.699
0:0, 4:0, 0, 17, [], [], 0.707
0:0, 4:0, 0, 17, [], [], 0.708
0:0, 2:0, 1, 7, [], [], 0.513
0:0, 2:0, 1, 7, [], [], 0.657
0:0, 2:0, 1, 7, [], [], 0.677
0:0, 2:0, 1, 7, [], [], 0.724
0:0, 2:0, 1, 7, [], [], 0.771
0:0, 2:0, 1, 7, [], [], 0.804
0:0, 2:0, 1, 7, [], [], 0.809
0:0, 2:0, 1, 7, [], [], 0.811
0:0, 2:0, 1, 7, [], [], 0.823
0:0, 276:0, 1, 7, [], [], 0.838
0:0, 4:0, 2, 7, [], [], 0.102
0:0, 4:0, 2, 7, [], [], 0.108
0:0, 4:0, 2, 7, [], [], 0.133
0:0, 4:0, 2, 7, [], [], 0.135
0:0, 4:0, 2, 7, [], [], 0.174
0:0, 4:0, 2, 7, [], [], 0.186
0:0, 4:0, 2, 7, [], [], 0.203
0:0, 4:0, 2, 7, [], [], 0.251
0:0, 4:0, 2, 7, [], [], 0.257
0:0, 71:2, 2, 5, [], [], 0.258
0:0, 4:0, 3, 42, [], [], 0.518
0:0, 4:0, 3, 42, [], [], 0.546
0:0, 4:0, 3, 42, [], [], 0.561
0:0, 4:0, 3, 42, [], [], 0.664
0:0, 4:0, 3, 42, [], [], 0.673
0:0, 4:0, 3, 42, [], [], 0.675
0:0, 4:0, 3, 42, [], [], 0.677
0:0, 4:0, 3, 42, [], [], 0.679
0:0, 4:0, 3, 42, [], [], 0.687
0:0, 4:0, 3, 42, [], [], 0.691
0:0, 4:0, 4, 9, [], [], 0.549
0:0, 4:0, 4, 9, [], [], 0.584
0:0, 4:0, 4, 9, [], [], 0.612
0:0, 4:0, 4, 9, [], [], 0.626
0:0, 4:0, 4, 9, [], [], 0.630
0:0, 4:0, 4, 9, [], [], 0.691
0:0, 4:0, 4, 9, [], [], 0.696
0:0, 4:0, 4, 9, [], [], 0.715
0:0, 4:0, 4, 9, [], [], 0.730
0:0, 4:0, 4, 9, [], [], 0.743
0:0, 4:3, 5, 33, [], [], 0.374
0:0, 4:3, 5, 33, [], [], 0.392
0:0, 4:3, 5, 33, [], [], 0.400
0:0, 4:3, 5, 33, [], [], 0.416
0:0, 4:3, 5, 33, [], [], 0.416
0:0, 4:3, 5, 33, [], [], 0.422
0:0, 4:3, 5, 33, [], [], 0.435
0:0, 4:3, 5, 33, [], [], 0.436
0:0, 4:3, 5, 33, [], [], 0.440
0:0, 467:1, 5, 47, [], [], 0.451
0:0, 4:0, 6, 8, [], [], 0.561
0:0, 4:0, 6, 8, [], [], 0.671
0:0, 4:0, 6, 8, [], [], 0.676
0:0, 4:0, 6, 8, [], [], 0.680
0:0, 4:0, 6, 8, [], [], 0.686
0:0, 4:0, 6, 8, [], [], 0.694
0:0, 4:0, 6, 8, [], [], 0.698
0:0, 4:0, 6, 8, [], [], 0.714
0:0, 4:0, 6, 8, [], [], 0.724
0:0, 276:0, 6, 5, [], [], 0.734
0:0, 4:3, 7, 9, [], [], 0.000
0:0, 4:3, 7, 9, [], [], 0.211
0:0, 4:3, 7, 9, [], [], 0.263
0:0, 4:3, 7, 9, [], [], 0.274
0:0, 4:3, 7, 9, [], [], 0.370
0:0, 4:3, 7, 9, [], [], 0.371
0:0, 4:3, 7, 11, [], [], 0.393
0:0, 4:3, 7, 11, [], [], 0.425
0:0, 4:3, 7, 11, [], [], 0.426
0:0, 4:3, 7, 34, [], [], 0.434
0:0, 4:3, 8, 33, [], [], 0.211
0:0, 4:3, 8, 33, [], [], 0.287
0:0, 4:3, 8, 33, [], [], 0.311
0:0, 4:3, 8, 33, [], [], 0.328
0:0, 4:3, 8, 33, [], [], 0.330
0:0, 4:3, 8, 33, [], [], 0.340
0:0, 4:3, 8, 33, [], [], 0.340
0:0, 4:3, 8, 33, [], [], 0.341
0:0, 4:3, 8, 33, [], [], 0.343
0:0, 4:3, 8, 33, [], [], 0.347
0:0, 4:3, 9, 13, [], [], 0.256
0:0, 4:3, 9, 13, [], [], 0.381
0:0, 4:3, 9, 13, [], [], 0.425
0:0, 4:3, 9, 13, [], [], 0.437
0:0, 4:3, 9, 13, [], [], 0.453
0:0, 4:3, 9, 13, [], [], 0.481
0:0, 4:3, 9, 13, [], [], 0.482
0:0, 4:3, 9, 13, [], [], 0.503
0:0, 4:3, 9, 13, [], [], 0.514
0:0, 4:3, 9, 13, [], [], 0.516
0:0, 4:3, 10, 14, [], [], 0.603
0:0, 4:3, 10, 14, [], [], 0.606
0:0, 4:3, 10, 14, [], [], 0.609
0:0, 4:3, 10, 14, [], [], 0.614
0:0, 4:3, 10, 14, [], [], 0.614
0:0, 4:3, 10, 14, [], [], 0.623
0:0, 4:3, 10, 14, [], [], 0.624
0:0, 4:3, 10, 14, [], [], 0.629
0:0, 4:3, 10, 14, [], [], 0.631
0:0, 4:3, 10, 14, [], [], 0.665
0:0, 4:0, 11, 7, [], [], 0.248
0:0, 4:0, 11, 7, [], [], 0.304
0:0, 4:0, 11, 7, [], [], 0.326
0:0, 4:0, 11, 7, [], [], 0.361
0:0, 4:0, 11, 7, [], [], 0.417
0:0, 4:0, 11, 7, [], [], 0.424
0:0, 4:0, 11, 7, [], [], 0.428
0:0, 4:0, 11, 7, [], [], 0.436
0:0, 4:0, 11, 7, [], [], 0.440
0:0, 4:0, 11, 7, [], [], 0.444
0:0, 4:0, 12, 7, [], [], 0.000
0:0, 4:0, 12, 7, [], [], 0.674
0:0, 4:0, 12, 7, [], [], 0.682
0:0, 4:0, 12, 7, [], [], 0.693
0:0, 4:0, 12, 7, [], [], 0.711
0:0, 4:0, 12, 7, [], [], 0.722
0:0, 4:0, 12, 7, [], [], 0.728
0:0, 4:0, 12, 7, [], [], 0.734
