TQ:Q, TS:S, qindex, sindex, q, s, d
0:0, 4:0, 0, 0, [], [], 0.000
0:0, 4:0, 0, 0, [], [], 0.159
0:0, 4:0, 0, 0, [], [], 0.191
0:0, 4:0, 0, 0, [], [], 0.255
0:0, 4:0, 0, 0, [], [], 0.265
0:0, 4:0, 0, 0, [], [], 0.404
0:0, 4:0, 0, 0, [], [], 0.406
0:0, 4:0, 0, 0, [], [], 0.407
0:0, 4:0, 0, 0, [], [], 0.408
0:0, 4:0, 0, 0, [], [], 0.419
0:0, 53:1, 0, 0, [], [], 0.000
0:0, 53:1, 0, 0, [], [], 0.175
0:0, 53:1, 0, 0, [], [], 0.231
0:0, 53:1, 0, 0, [], [], 0.309
0:0, 53:1, 0, 0, [], [], 0.319
0:0, 53:1, 0, 0, [], [], 0.321
0:0, 53:1, 0, 0, [], [], 0.322
0:0, 53:1, 0, 0, [], [], 0.340
0:0, 53:1, 0, 0, [], [], 0.355
0:0, 53:1, 0, 0, [], [], 0.377
